"",BBK01.OECL03I,BBK01.OECL03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:32,
2002-01,3.573,
2002-04,3.311,
2002-07,2.617,
2002-10,2.812,
2003-01,2.807,
2003-04,2.470,
2003-07,2.272,
2003-10,1.970,
2004-01,1.498,
2004-04,1.207,
2004-07,0.751,
2004-10,0.929,
2005-01,1.133,
2005-04,1.038,
2005-07,1.053,
2005-10,1.077,
2006-01,1.065,
2006-04,1.076,
2006-07,1.181,
2006-10,1.214,
2007-01,1.290,
2007-04,1.328,
2007-07,1.537,
2007-10,1.790,
2008-01,1.898,
2008-04,2.108,
2008-07,2.424,
2008-10,2.356,
2009-01,2.001,
2009-04,1.863,
2009-07,1.403,
2009-10,1.058,
2010-01,0.824,
2010-04,0.757,
2010-07,0.659,
2010-10,0.593,
2011-01,0.640,
2011-04,0.614,
2011-07,0.546,
2011-10,0.609,
2012-01,0.675,
2012-04,0.655,
2012-07,0.630,
2012-10,0.522,
2013-01,0.425,
2013-04,0.391,
2013-07,0.363,
2013-10,0.334,
2014-01,0.342,
2014-04,0.338,
2014-07,0.302,
