"",BBEX3.M.AZM.EUR.CA.AC.A01,BBEX3.M.AZM.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Azerbaijan / EUR 1 = AZM ... (middle),
unit,AZM (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:15:50,
1999-01,4451.24,
1999-02,4319.54,
1999-03,4208.58,
1999-04,4179.70,
1999-05,4152.68,
1999-06,4120.29,
1999-07,4565.70,
1999-08,4469.30,
1999-09,4559.76,
1999-10,4550.85,
1999-11,4384.33,
1999-12,4404.27,
2000-01,4317.25,
2000-02,4236.93,
2000-03,4216.40,
2000-04,4237.90,
2000-05,4000.00,
2000-06,4250.00,
2000-07,4250.00,
2000-08,4027.13,
2000-09,3998.47,
2000-10,3859.43,
2000-11,3933.33,
2000-12,4237.00,
2001-01,4204.21,
2001-02,4205.13,
2001-03,4069.40,
2001-04,4166.22,
2001-05,3972.01,
2001-06,3949.87,
2001-07,4089.99,
2001-08,4248.35,
2001-09,4314.04,
2001-10,4281.16,
2001-11,4235.22,
2001-12,4206.37,
2002-01,4127.10,
2002-02,4159.30,
2002-03,4220.73,
2002-04,4378.80,
2002-05,4552.43,
2002-06,4786.48,
2002-07,4817.12,
2002-08,4828.45,
2002-09,4789.02,
2002-10,4812.04,
2002-11,4860.45,
2002-12,5080.16,
2003-01,5259.77,
2003-02,5293.27,
2003-03,5283.85,
2003-04,5387.01,
2003-05,5785.64,
2003-06,5622.84,
2003-07,5574.01,
2003-08,5344.12,
2003-09,5705.42,
2003-10,5707.32,
2003-11,5859.83,
2003-12,6195.35,
2004-01,6123.82,
2004-02,6142.39,
2004-03,6027.46,
2004-04,5888.08,
2004-05,5990.94,
2004-06,5928.18,
2004-07,5908.09,
2004-08,5924.31,
2004-09,6048.86,
2004-10,6253.43,
2004-11,6502.75,
2004-12,6681.81,
2005-01,6386.89,
2005-02,6485.12,
2005-03,6272.18,
2005-04,6208.96,
2005-05,5900.63,
2005-06,5691.94,
2005-07,5681.78,
2005-08,5655.52,
2005-09,5535.25,
2005-10,5540.99,
2005-11,5412.42,
2005-12,5459.01,
"","General: Currency conversion with effect from 1 January 2006 at the rate of AZM 5,000 = AZN 1; for exchange rates as of January 2006, see BBEX2:M:AZN:EUR:CA:AC:A01.",
"","Source: National Bank of Azerbaijan, Baku.",
