"",BBSF2.M.1.T.00000.IMM01.I.F.BGG.U201.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.BGG.U201.00000.000000.Z01.00_FLAGS
"","Funds total / Real estate funds / Participations in real estate companies / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:55,
2009-09,8744,
2009-10,8811,
2009-11,8872,
2009-12,8942,
2010-01,8981,
2010-02,8992,
2010-03,9092,
2010-04,9109,
2010-05,9139,
2010-06,9125,
2010-07,8946,
2010-08,8996,
2010-09,8950,
2010-10,8972,
2010-11,8995,
2010-12,8877,
2011-01,8887,
2011-02,9030,
2011-03,9029,
2011-04,8978,
2011-05,9002,
2011-06,9020,
2011-07,9014,
2011-08,8927,
2011-09,9024,
2011-10,8990,
2011-11,8941,
2011-12,9008,
2012-01,8973,
2012-02,8946,
2012-03,8846,
2012-04,8634,
2012-05,8648,
2012-06,8731,
2012-07,8635,
2012-08,8622,
2012-09,8599,
2012-10,8839,
2012-11,8891,
2012-12,9000,
2013-01,9138,
2013-02,9167,
2013-03,9149,
2013-04,9029,
2013-05,9094,
2013-06,8870,
2013-07,8789,
2013-08,8801,
2013-09,8711,
2013-10,8682,
2013-11,8694,
2013-12,8733,
2014-01,8815,
2014-02,9084,
2014-03,8914,
2014-04,8737,
2014-05,8696,
2014-06,8627,
2014-07,8561,
2014-08,8560,
2014-09,8747,
2014-10,8570,
2014-11,8581,
