"",BBK01.OEAM03P,BBK01.OEAM03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:25,
2002-01,0.346,
2002-04,0.301,
2002-07,0.251,
2002-10,0.342,
2003-01,0.238,
2003-04,0.269,
2003-07,0.320,
2003-10,0.314,
2004-01,0.155,
2004-04,0.148,
2004-07,0.197,
2004-10,0.299,
2005-01,0.243,
2005-04,0.189,
2005-07,0.180,
2005-10,0.242,
2006-01,0.225,
2006-04,0.239,
2006-07,0.292,
2006-10,0.478,
2007-01,0.376,
2007-04,0.378,
2007-07,0.419,
2007-10,0.552,
2008-01,0.435,
2008-04,0.412,
2008-07,0.404,
2008-10,0.396,
2009-01,0.364,
2009-04,0.486,
2009-07,0.457,
2009-10,0.432,
2010-01,0.324,
2010-04,0.338,
2010-07,0.419,
2010-10,0.489,
2011-01,0.356,
2011-04,0.357,
2011-07,0.566,
2011-10,0.517,
2012-01,0.940,
2012-04,0.521,
2012-07,0.521,
2012-10,0.740,
2013-01,1.264,
2013-04,0.965,
2013-07,0.722,
2013-10,0.805,
2014-01,0.561,
2014-04,0.561,
2014-07,0.733,
