"",BBK01.OEXL08U,BBK01.OEXL08U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:38,
2002-01,0.355,
2002-04,0.343,
2002-07,0.317,
2002-10,0.340,
2003-01,0.356,
2003-04,0.364,
2003-07,0.373,
2003-10,0.389,
2004-01,0.390,
2004-04,0.345,
2004-07,0.340,
2004-10,0.329,
2005-01,0.343,
2005-04,0.349,
2005-07,0.353,
2005-10,0.369,
2006-01,0.377,
2006-04,0.363,
2006-07,0.345,
2006-10,0.383,
2007-01,0.381,
2007-04,0.377,
2007-07,0.372,
2007-10,0.390,
2008-01,0.399,
2008-04,0.392,
2008-07,0.387,
2008-10,0.382,
2009-01,0.374,
2009-04,0.352,
2009-07,0.377,
2009-10,0.412,
2010-01,0.418,
2010-04,0.410,
2010-07,0.414,
2010-10,0.414,
2011-01,0.403,
2011-04,0.382,
2011-07,0.358,
2011-10,0.358,
2012-01,0.352,
2012-04,0.347,
2012-07,0.373,
2012-10,0.382,
2013-01,0.383,
2013-04,0.385,
2013-07,0.394,
2013-10,0.403,
2014-01,0.406,
2014-04,0.400,
2014-07,0.392,
