"",BBK01.OEHM05M,BBK01.OEHM05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:52,
2002-01,0.083,
2002-04,0.084,
2002-07,0.084,
2002-10,0.084,
2003-01,0.083,
2003-04,0.084,
2003-07,0.084,
2003-10,0.081,
2004-01,0.056,
2004-04,0.054,
2004-07,0.054,
2004-10,0.054,
2005-01,0.054,
2005-04,0.054,
2005-07,0.054,
2005-10,0.053,
2006-01,0.028,
2006-04,0.027,
2006-07,0.027,
2006-10,0.027,
2007-01,0.027,
2007-04,0.028,
2007-07,0.028,
2007-10,0.025,
2008-01,0.023,
2008-04,0.001,
2008-07,0.002,
2008-10,0.001,
2009-01,0.001,
2009-04,-,Nothing exists
2009-07,-,Nothing exists
2009-10,0.015,
2010-01,0.016,
2010-04,0.018,
2010-07,0.019,
2010-10,0.018,
2011-01,0.019,
2011-04,0.019,
2011-07,0.019,
2011-10,0.001,
2012-01,0.001,
2012-04,0.001,
2012-07,0.001,
2012-10,0.001,
2013-01,0.001,
2013-04,0.001,
2013-07,0.003,
2013-10,0.003,
2014-01,0.004,
2014-04,0.008,
2014-07,0.008,
