"",BBK01.OECO03R,BBK01.OECO03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:15,
2002-01,0.053,
2002-04,0.102,
2002-07,0.035,
2002-10,0.032,
2003-01,0.045,
2003-04,0.042,
2003-07,0.040,
2003-10,0.042,
2004-01,0.049,
2004-04,0.038,
2004-07,0.037,
2004-10,0.150,
2005-01,0.128,
2005-04,0.116,
2005-07,0.088,
2005-10,0.100,
2006-01,0.124,
2006-04,0.112,
2006-07,0.106,
2006-10,0.120,
2007-01,0.151,
2007-04,0.117,
2007-07,0.105,
2007-10,0.109,
2008-01,0.136,
2008-04,0.112,
2008-07,0.097,
2008-10,0.130,
2009-01,0.123,
2009-04,0.090,
2009-07,0.097,
2009-10,0.105,
2010-01,0.125,
2010-04,0.089,
2010-07,0.065,
2010-10,0.078,
2011-01,0.107,
2011-04,0.094,
2011-07,0.094,
2011-10,0.073,
2012-01,0.101,
2012-04,0.095,
2012-07,0.079,
2012-10,0.074,
2013-01,0.137,
2013-04,0.085,
2013-07,0.073,
2013-10,0.066,
2014-01,0.067,
2014-04,0.057,
2014-07,0.059,
