"",BBK01.OEBL03Q,BBK01.OEBL03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:16,
2002-01,0.887,
2002-04,0.855,
2002-07,0.913,
2002-10,0.840,
2003-01,0.779,
2003-04,0.759,
2003-07,0.707,
2003-10,0.866,
2004-01,0.926,
2004-04,0.947,
2004-07,1.250,
2004-10,1.092,
2005-01,1.169,
2005-04,1.134,
2005-07,1.162,
2005-10,1.264,
2006-01,1.559,
2006-04,1.719,
2006-07,2.018,
2006-10,2.187,
2007-01,2.246,
2007-04,2.413,
2007-07,2.634,
2007-10,2.982,
2008-01,3.246,
2008-04,3.392,
2008-07,3.903,
2008-10,3.871,
2009-01,3.005,
2009-04,2.709,
2009-07,2.293,
2009-10,1.873,
2010-01,1.631,
2010-04,1.529,
2010-07,1.390,
2010-10,1.317,
2011-01,1.350,
2011-04,1.348,
2011-07,1.364,
2011-10,1.458,
2012-01,1.479,
2012-04,1.358,
2012-07,1.294,
2012-10,1.209,
2013-01,1.166,
2013-04,1.197,
2013-07,1.201,
2013-10,1.131,
2014-01,1.054,
2014-04,0.993,
2014-07,0.917,
