"",BBK01.OEAH64R,BBK01.OEAH64R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:54,
2002-01,1.019,
2002-04,1.064,
2002-07,1.076,
2002-10,1.096,
2003-01,1.062,
2003-04,1.047,
2003-07,1.024,
2003-10,1.020,
2004-01,1.014,
2004-04,1.000,
2004-07,0.996,
2004-10,0.989,
2005-01,0.971,
2005-04,0.946,
2005-07,0.921,
2005-10,0.908,
2006-01,0.909,
2006-04,0.925,
2006-07,0.938,
2006-10,0.968,
2007-01,0.994,
2007-04,1.022,
2007-07,1.048,
2007-10,1.085,
2008-01,1.062,
2008-04,1.058,
2008-07,1.069,
2008-10,1.103,
2009-01,1.035,
2009-04,0.924,
2009-07,0.816,
2009-10,0.760,
2010-01,0.741,
2010-04,0.750,
2010-07,0.750,
2010-10,0.724,
2011-01,0.738,
2011-04,0.775,
2011-07,0.777,
2011-10,0.822,
2012-01,0.807,
2012-04,0.790,
2012-07,0.748,
2012-10,0.705,
2013-01,0.660,
2013-04,0.628,
2013-07,0.614,
2013-10,0.614,
2014-01,0.601,
2014-04,0.590,
2014-07,0.566,
