"",BBK01.OEHI03S,BBK01.OEHI03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:41,
2002-01,1.036,
2002-04,0.987,
2002-07,0.993,
2002-10,0.937,
2003-01,0.831,
2003-04,0.827,
2003-07,0.806,
2003-10,0.823,
2004-01,0.762,
2004-04,0.738,
2004-07,0.775,
2004-10,0.824,
2005-01,0.772,
2005-04,0.869,
2005-07,0.853,
2005-10,0.777,
2006-01,0.851,
2006-04,0.909,
2006-07,0.928,
2006-10,0.910,
2007-01,1.038,
2007-04,1.152,
2007-07,1.216,
2007-10,1.270,
2008-01,1.376,
2008-04,1.458,
2008-07,1.511,
2008-10,1.456,
2009-01,1.225,
2009-04,1.053,
2009-07,0.869,
2009-10,0.788,
2010-01,0.771,
2010-04,0.757,
2010-07,0.787,
2010-10,0.890,
2011-01,0.926,
2011-04,1.011,
2011-07,1.036,
2011-10,1.053,
2012-01,1.055,
2012-04,0.984,
2012-07,0.866,
2012-10,0.889,
2013-01,0.801,
2013-04,0.827,
2013-07,0.831,
2013-10,0.803,
2014-01,0.878,
2014-04,0.890,
2014-07,0.832,
