"",BBK01.OEAC41R,BBK01.OEAC41R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:02,
2002-01,0.042,
2002-04,0.044,
2002-07,0.044,
2002-10,0.041,
2003-01,0.049,
2003-04,0.071,
2003-07,0.070,
2003-10,0.069,
2004-01,0.071,
2004-04,0.072,
2004-07,0.066,
2004-10,0.074,
2005-01,0.078,
2005-04,0.076,
2005-07,0.078,
2005-10,0.078,
2006-01,0.058,
2006-04,0.061,
2006-07,0.056,
2006-10,0.053,
2007-01,0.056,
2007-04,0.053,
2007-07,0.060,
2007-10,0.034,
2008-01,0.032,
2008-04,0.030,
2008-07,0.032,
2008-10,0.033,
2009-01,0.034,
2009-04,0.034,
2009-07,0.034,
2009-10,0.033,
2010-01,0.029,
2010-04,0.029,
2010-07,0.032,
2010-10,0.025,
2011-01,0.033,
2011-04,0.036,
2011-07,0.036,
2011-10,0.035,
2012-01,0.039,
2012-04,0.050,
2012-07,0.043,
2012-10,0.042,
2013-01,0.041,
2013-04,0.044,
2013-07,0.067,
2013-10,0.078,
2014-01,0.077,
2014-04,0.074,
2014-07,0.069,
