"",BBDA1.M.DE.Y.IM.S.GP09IS10.W1.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.GP09IS10.W1.A.V.ABA.A_FLAGS
"","German foreign trade: imports / At current prices, flows / Computer, electronic and optical products plus electrical equipment (new: items 26+27) / Rest of the World / Calendar and seasonally adjusted",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:40,
2008-01,10.26,
2008-02,10.09,
2008-03,10.17,
2008-04,9.78,
2008-05,9.59,
2008-06,9.13,
2008-07,10.23,
2008-08,10.06,
2008-09,10.00,
2008-10,10.25,
2008-11,10.40,
2008-12,9.46,
2009-01,8.67,
2009-02,8.39,
2009-03,8.29,
2009-04,8.01,
2009-05,7.85,
2009-06,8.09,
2009-07,8.30,
2009-08,8.62,
2009-09,8.84,
2009-10,9.07,
2009-11,9.33,
2009-12,9.23,
2010-01,9.15,
2010-02,9.65,
2010-03,10.34,
2010-04,9.99,
2010-05,11.50,
2010-06,11.67,
2010-07,11.21,
2010-08,11.33,
2010-09,11.52,
2010-10,11.24,
2010-11,11.57,
2010-12,11.07,
2011-01,11.03,
2011-02,10.85,
2011-03,10.96,
2011-04,11.30,
2011-05,11.16,
2011-06,11.37,
2011-07,11.45,
2011-08,11.52,
2011-09,10.82,
2011-10,11.38,
2011-11,11.01,
2011-12,10.88,
2012-01,10.66,
2012-02,11.30,
2012-03,11.22,
2012-04,11.32,
2012-05,11.82,
2012-06,11.53,
2012-07,11.34,
2012-08,11.23,
2012-09,11.03,
2012-10,11.01,
2012-11,10.64,
2012-12,10.81,
2013-01,11.04,
2013-02,10.64,
2013-03,10.56,
2013-04,11.05,
2013-05,11.08,
2013-06,10.68,
2013-07,11.03,
2013-08,10.76,
2013-09,10.79,
2013-10,10.73,
2013-11,10.63,
2013-12,10.71,
2014-01,11.80,
2014-02,11.42,
2014-03,11.42,
2014-04,11.50,
2014-05,11.68,
2014-06,11.82,
2014-07,11.79,
2014-08,11.83,
2014-09,11.90,
2014-10,12.01,
2014-11,12.01,
2014-12,12.50,
