"",BBDE1.Q.DE.Y.LCC1.A2P001000.A.L.I08.A,BBDE1.Q.DE.Y.LCC1.A2P001000.A.L.I08.A_FLAGS
"",Index of non-wage costs / Germany / Production sector including construction (B -F) / Calendar and seasonally adjusted,
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:17,
1996-01,81.2,
1996-04,79.3,
1996-07,81.4,
1996-10,83.4,
1997-01,84.2,
1997-04,81.2,
1997-07,82.8,
1997-10,83.7,
1998-01,82.4,
1998-04,83.2,
1998-07,84.0,
1998-10,85.4,
1999-01,84.2,
1999-04,84.6,
1999-07,84.1,
1999-10,84.8,
2000-01,90.7,
2000-04,91.8,
2000-07,93.2,
2000-10,94.8,
2001-01,94.8,
2001-04,96.2,
2001-07,96.4,
2001-10,96.5,
2002-01,99.6,
2002-04,97.3,
2002-07,98.4,
2002-10,98.0,
2003-01,100.9,
2003-04,101.5,
2003-07,101.4,
2003-10,100.7,
2004-01,101.6,
2004-04,102.3,
2004-07,101.3,
2004-10,100.1,
2005-01,101.1,
2005-04,99.3,
2005-07,97.7,
2005-10,98.7,
2006-01,104.0,
2006-04,103.1,
2006-07,104.2,
2006-10,104.4,
2007-01,98.4,
2007-04,98.6,
2007-07,97.8,
2007-10,98.5,
2008-01,99.1,
2008-04,97.1,
2008-07,100.1,
2008-10,103.8,
2009-01,102.9,
2009-04,103.4,
2009-07,103.2,
2009-10,102.3,
2010-01,104.4,
2010-04,103.9,
2010-07,104.3,
2010-10,104.4,
2011-01,107.9,
2011-04,108.6,
2011-07,107.3,
2011-10,108.7,
2012-01,107.0,
2012-04,109.3,
2012-07,109.4,
2012-10,110.2,
2013-01,117.5,
2013-04,112.9,
2013-07,112.4,
2013-10,114.7,
2014-01,114.8,
2014-04,117.1,
2014-07,115.9,
