"",BBK01.DQ7801,BBK01.DQ7801_FLAGS
"","Basic pay rates, overall economy, excluding ancillary benefits, excluding one-off payments, on an hourly basis, Germany",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-11 13:06:15,
1991-01,54.8,
1991-04,57.6,
1991-07,59.3,
1991-10,59.7,
1992-01,60.6,
1992-04,64.7,
1992-07,65.8,
1992-10,66.1,
1993-01,67.3,
1993-04,69.2,
1993-07,70.3,
1993-10,70.4,
1994-01,70.5,
1994-04,71.1,
1994-07,72.0,
1994-10,72.5,
1995-01,73.0,
1995-04,74.6,
1995-07,75.6,
1995-10,76.3,
1996-01,76.5,
1996-04,76.9,
1996-07,77.2,
1996-10,77.3,
1997-01,77.7,
1997-04,78.1,
1997-07,78.5,
1997-10,78.7,
1998-01,79.2,
1998-04,79.7,
1998-07,80.1,
1998-10,80.3,
1999-01,80.6,
1999-04,81.8,
1999-07,82.5,
1999-10,82.6,
2000-01,82.8,
2000-04,83.6,
2000-07,84.3,
2000-10,84.6,
2001-01,85.0,
2001-04,85.6,
2001-07,86.1,
2001-10,86.5,
2002-01,86.9,
2002-04,87.3,
2002-07,88.1,
2002-10,88.5,
2003-01,88.9,
2003-04,89.5,
2003-07,90.0,
2003-10,90.0,
2004-01,90.1,
2004-04,90.5,
2004-07,90.9,
2004-10,91.0,
2005-01,91.1,
2005-04,91.3,
2005-07,91.5,
2005-10,91.7,
2006-01,91.5,
2006-04,91.8,
2006-07,92.1,
2006-10,92.3,
2007-01,92.4,
2007-04,92.8,
2007-07,93.5,
2007-10,93.8,
2008-01,95.1,
2008-04,95.9,
2008-07,96.5,
2008-10,96.7,
2009-01,97.4,
2009-04,98.2,
2009-07,98.7,
2009-10,99.0,
2010-01,99.5,
2010-04,99.9,
2010-07,100.2,
2010-10,100.4,
2011-01,100.6,
2011-04,101.6,
2011-07,102.2,
2011-10,102.6,
2012-01,103.4,
2012-04,104.5,
2012-07,105.4,
2012-10,105.7,
2013-01,106.4,
2013-04,106.7,
2013-07,107.9,
2013-10,108.1,
2014-01,109.3,
2014-04,110.4,
2014-07,111.0,
2014-10,111.3,
