"",BBFN1.M.DE.N.1.L.KW.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.KW.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Kuwait,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:27:47,
1982-09,0.180,
1982-10,0.181,
1982-11,0.186,
1982-12,0.176,
1983-01,0.198,
1983-02,0.200,
1983-03,0.172,
1983-04,0.179,
1983-05,0.177,
1983-06,0.219,
1983-07,0.254,
1983-08,0.246,
1983-09,0.151,
1983-10,0.142,
1983-11,0.139,
1983-12,0.133,
1984-01,0.131,
1984-02,0.131,
1984-03,0.128,
1984-04,0.125,
1984-05,0.112,
1984-06,0.102,
1984-07,0.112,
1984-08,0.138,
1984-09,0.140,
1984-10,0.150,
1984-11,0.143,
1984-12,0.140,
1985-01,0.148,
1985-02,0.136,
1985-03,0.137,
1985-04,0.141,
1985-05,0.135,
1985-06,0.122,
1985-07,0.135,
1985-08,0.121,
1985-09,0.126,
1985-10,0.121,
1985-11,0.124,
1985-12,0.111,
1986-01,0.102,
1986-02,0.122,
1986-03,0.150,
1986-04,0.154,
1986-05,0.149,
1986-06,0.142,
1986-07,0.139,
1986-08,0.116,
1986-09,0.107,
1986-10,0.097,
1986-11,0.090,
1986-12,0.087,
1987-01,0.084,
1987-02,0.078,
1987-03,0.076,
1987-04,0.075,
1987-05,0.066,
1987-06,0.055,
1987-07,0.054,
1987-08,0.054,
1987-09,0.037,
1987-10,0.032,
1987-11,0.034,
1987-12,0.032,
1988-01,0.031,
1988-02,0.031,
1988-03,0.028,
1988-04,0.026,
1988-05,0.026,
1988-06,0.022,
1988-07,0.036,
1988-08,0.035,
1988-09,0.037,
1988-10,0.042,
1988-11,0.042,
1988-12,0.722,
1989-01,0.722,
1989-02,0.725,
1989-03,0.725,
1989-04,0.722,
1989-05,0.722,
1989-06,0.725,
1989-07,0.714,
1989-08,0.713,
1989-09,0.708,
1989-10,0.708,
1989-11,0.708,
1989-12,0.708,
1990-01,1.382,
1990-02,1.382,
1990-03,1.382,
1990-04,1.382,
1990-05,1.382,
1990-06,1.379,
1990-07,1.379,
1990-08,1.379,
1990-09,1.379,
1990-10,1.379,
1990-11,1.379,
1990-12,1.379,
1991-01,1.378,
1991-02,1.390,
1991-03,1.390,
1991-04,1.392,
1991-05,1.390,
1991-06,1.390,
1991-07,1.399,
1991-08,1.489,
1991-09,1.489,
1991-10,1.489,
1991-11,1.489,
1991-12,1.489,
1992-01,1.489,
1992-02,1.314,
1992-03,1.317,
1992-04,1.317,
1992-05,1.317,
1992-06,1.317,
1992-07,1.317,
1992-08,1.317,
1992-09,1.317,
1992-10,1.318,
1992-11,1.318,
1992-12,1.318,
1993-01,1.318,
1993-02,1.317,
1993-03,1.317,
1993-04,1.317,
1993-05,1.317,
1993-06,1.317,
1993-07,1.320,
1993-08,1.320,
1993-09,1.320,
1993-10,1.319,
1993-11,1.319,
1993-12,1.319,
1994-01,1.319,
1994-02,1.315,
1994-03,1.315,
1994-04,1.315,
1994-05,1.315,
1994-06,1.316,
1994-07,1.316,
1994-08,1.316,
1994-09,1.316,
1994-10,1.316,
1994-11,1.316,
1994-12,1.414,
1995-01,1.414,
1995-02,1.414,
1995-03,1.414,
1995-04,1.419,
1995-05,1.419,
1995-06,1.417,
1995-07,1.417,
1995-08,1.414,
1995-09,1.414,
1995-10,1.414,
1995-11,1.414,
1995-12,1.414,
1996-01,1.414,
1996-02,1.414,
1996-03,1.407,
1996-04,1.407,
1996-05,1.407,
1996-06,1.411,
1996-07,1.411,
1996-08,1.404,
1996-09,1.404,
1996-10,1.405,
1996-11,1.405,
1996-12,1.405,
1997-01,1.405,
1997-02,1.404,
1997-03,1.406,
1997-04,1.406,
1997-05,1.406,
1997-06,1.406,
1997-07,1.402,
1997-08,1.398,
1997-09,1.398,
1997-10,1.398,
1997-11,1.398,
1997-12,1.398,
1998-01,1.398,
1998-02,1.398,
1998-03,1.398,
1998-04,1.398,
1998-05,1.398,
1998-06,1.397,
1998-07,1.475,
1998-08,1.472,
1998-09,1.472,
1998-10,1.472,
1998-11,1.472,
1998-12,1.472,
1999-01,1.472,
1999-02,1.467,
1999-03,1.467,
1999-04,1.467,
1999-05,1.460,
1999-06,1.468,
1999-07,1.468,
