"",BBK01.OEBO02P,BBK01.OEBO02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:44,
2002-01,0.120,
2002-04,0.105,
2002-07,0.094,
2002-10,0.111,
2003-01,0.125,
2003-04,0.117,
2003-07,0.194,
2003-10,0.101,
2004-01,0.126,
2004-04,0.100,
2004-07,0.123,
2004-10,0.148,
2005-01,0.187,
2005-04,0.152,
2005-07,0.157,
2005-10,0.172,
2006-01,0.193,
2006-04,0.176,
2006-07,0.165,
2006-10,0.176,
2007-01,0.279,
2007-04,0.194,
2007-07,0.211,
2007-10,0.251,
2008-01,0.247,
2008-04,0.219,
2008-07,0.215,
2008-10,0.343,
2009-01,0.239,
2009-04,0.208,
2009-07,0.238,
2009-10,0.216,
2010-01,0.210,
2010-04,0.153,
2010-07,0.146,
2010-10,0.243,
2011-01,0.259,
2011-04,0.161,
2011-07,0.179,
2011-10,0.155,
2012-01,0.236,
2012-04,0.125,
2012-07,0.139,
2012-10,0.125,
2013-01,0.159,
2013-04,0.095,
2013-07,0.087,
2013-10,0.094,
2014-01,0.073,
2014-04,0.066,
2014-07,0.135,
