"",BBK01.OEAC60K,BBK01.OEAC60K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:56:10,
2002-01,1.327,
2002-04,1.317,
2002-07,1.308,
2002-10,1.293,
2003-01,1.139,
2003-04,0.995,
2003-07,1.189,
2003-10,0.966,
2004-01,0.945,
2004-04,1.940,
2004-07,1.523,
2004-10,1.399,
2005-01,1.380,
2005-04,1.365,
2005-07,1.413,
2005-10,1.321,
2006-01,1.301,
2006-04,1.314,
2006-07,1.308,
2006-10,1.280,
2007-01,1.195,
2007-04,1.206,
2007-07,1.200,
2007-10,1.192,
2008-01,1.275,
2008-04,1.440,
2008-07,1.447,
2008-10,1.500,
2009-01,1.499,
2009-04,1.554,
2009-07,1.550,
2009-10,1.532,
2010-01,1.239,
2010-04,1.247,
2010-07,1.444,
2010-10,1.438,
2011-01,1.429,
2011-04,1.436,
2011-07,1.490,
2011-10,1.479,
2012-01,1.437,
2012-04,1.418,
2012-07,1.426,
2012-10,1.381,
2013-01,1.391,
2013-04,1.386,
2013-07,1.338,
2013-10,1.319,
2014-01,1.295,
2014-04,1.281,
2014-07,1.263,
