"",BBK01.OEBO04L,BBK01.OEBO04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:47,
2002-01,0.662,
2002-04,6.271,
2002-07,1.086,
2002-10,-0.024,
2003-01,0.565,
2003-04,0.666,
2003-07,-1.310,
2003-10,0.053,
2004-01,0.508,
2004-04,0.092,
2004-07,-2.616,
2004-10,-0.296,
2005-01,-0.006,
2005-04,-0.038,
2005-07,0.394,
2005-10,1.285,
2006-01,0.408,
2006-04,0.050,
2006-07,0.264,
2006-10,-0.166,
2007-01,0.246,
2007-04,-0.425,
2007-07,-0.732,
2007-10,-0.754,
2008-01,-0.340,
2008-04,0.117,
2008-07,0.218,
2008-10,-0.956,
2009-01,0.713,
2009-04,1.224,
2009-07,1.822,
2009-10,0.559,
2010-01,0.844,
2010-04,-2.735,
2010-07,-0.039,
2010-10,0.427,
2011-01,0.986,
2011-04,-2.024,
2011-07,-0.088,
2011-10,-0.221,
2012-01,0.420,
2012-04,-0.077,
2012-07,-0.198,
2012-10,-0.220,
2013-01,-0.333,
2013-04,-0.104,
2013-07,-0.032,
2013-10,0.048,
2014-01,-0.070,
2014-04,-0.058,
2014-07,0.405,
