"",BBFN1.M.DE.N.1.A.A1.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.A1.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Countries in America,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:16,
1995-01,12.343,
1995-02,12.171,
1995-03,12.591,
1995-04,12.709,
1995-05,12.929,
1995-06,13.295,
1995-07,13.164,
1995-08,12.759,
1995-09,12.338,
1995-10,11.830,
1995-11,11.925,
1995-12,11.963,
1996-01,11.630,
1996-02,11.494,
1996-03,11.847,
1996-04,11.985,
1996-05,12.017,
1996-06,12.287,
1996-07,12.401,
1996-08,12.265,
1996-09,12.536,
1996-10,12.849,
1996-11,12.996,
1996-12,13.498,
1997-01,13.245,
1997-02,13.527,
1997-03,14.206,
1997-04,14.549,
1997-05,13.851,
1997-06,14.109,
1997-07,14.330,
1997-08,14.229,
1997-09,14.697,
1997-10,14.744,
1997-11,14.612,
1997-12,14.981,
1998-01,14.871,
1998-02,15.180,
1998-03,15.619,
1998-04,15.713,
1998-05,15.601,
1998-06,15.054,
1998-07,15.242,
1998-08,15.301,
1998-09,15.685,
1998-10,15.745,
1998-11,15.863,
1998-12,15.877,
1999-01,15.353,
1999-02,15.436,
1999-03,15.754,
1999-04,15.818,
1999-05,15.824,
1999-06,16.593,
1999-07,16.995,
1999-08,17.151,
1999-09,17.009,
1999-10,17.688,
1999-11,18.265,
1999-12,18.310,
2000-01,18.780,
2000-02,18.173,
2000-03,19.444,
2000-04,19.321,
2000-05,19.737,
2000-06,19.801,
2000-07,20.425,
2000-08,19.861,
2000-09,20.779,
2000-10,20.840,
2000-11,21.325,
2000-12,21.800,
2001-01,20.806,
2001-02,20.118,
2001-03,21.231,
2001-04,21.035,
2001-05,20.626,
2001-06,21.606,
2001-07,21.203,
2001-08,20.311,
2001-09,21.042,
2001-10,21.537,
2001-11,20.902,
2001-12,20.504,
2002-01,20.199,
2002-02,19.459,
2002-03,19.051,
2002-04,19.507,
2002-05,19.779,
2002-06,19.974,
2002-07,20.384,
2002-08,19.468,
2002-09,20.459,
2002-10,21.140,
2002-11,20.751,
2002-12,20.161,
2003-01,19.399,
2003-02,19.259,
2003-03,19.301,
2003-04,18.984,
2003-05,18.174,
2003-06,18.504,
2003-07,18.679,
2003-08,17.958,
2003-09,17.973,
2003-10,17.913,
2003-11,17.469,
2003-12,17.840,
2004-01,16.935,
2004-02,16.728,
2004-03,17.640,
2004-04,17.369,
2004-05,17.143,
2004-06,18.327,
2004-07,18.064,
2004-08,17.733,
2004-09,18.816,
2004-10,18.593,
2004-11,18.623,
2004-12,17.484,
2005-01,16.823,
2005-02,16.859,
2005-03,17.908,
2005-04,17.347,
2005-05,17.795,
2005-06,19.022,
2005-07,18.278,
2005-08,18.584,
2005-09,19.869,
2005-10,19.290,
2005-11,19.660,
2005-12,20.587,
2006-01,20.213,
2006-02,19.745,
2006-03,20.780,
2006-04,19.887,
2006-05,20.177,
2006-06,20.605,
2006-07,19.858,
2006-08,19.378,
2006-09,20.293,
2006-10,19.594,
2006-11,19.894,
2006-12,20.039,
2007-01,19.547,
2007-02,19.377,
2007-03,20.233,
2007-04,19.039,
2007-05,19.260,
2007-06,19.916,
2007-07,19.671,
2007-08,19.709,
2007-09,20.430,
2007-10,20.053,
2007-11,20.888,
2007-12,19.813,
2008-01,18.909,
2008-02,19.200,
2008-03,19.510,
2008-04,19.656,
2008-05,19.877,
2008-06,20.614,
2008-07,20.313,
2008-08,20.249,
2008-09,20.693,
2008-10,20.611,
2008-11,20.634,
2008-12,20.004,
2009-01,18.926,
2009-02,18.650,
2009-03,18.621,
2009-04,17.626,
2009-05,17.049,
2009-06,17.524,
2009-07,17.473,
2009-08,17.156,
2009-09,17.718,
2009-10,17.513,
2009-11,18.087,
2009-12,17.652,
2010-01,16.734,
2010-02,17.512,
2010-03,18.929,
2010-04,18.866,
2010-05,19.414,
2010-06,20.335,
2010-07,20.002,
2010-08,20.036,
2010-09,21.038,
2010-10,20.356,
2010-11,21.130,
2010-12,21.052,
2011-01,20.665,
2011-02,21.292,
2011-03,21.618,
2011-04,21.809,
2011-05,21.627,
2011-06,21.660,
2011-07,21.584,
2011-08,21.887,
2011-09,22.606,
2011-10,22.752,
2011-11,22.751,
2011-12,22.428,
2012-01,22.178,
2012-02,22.830,
2012-03,23.845,
2012-04,23.561,
2012-05,23.884,
2012-06,25.509,
2012-07,25.282,
2012-08,25.005,
2012-09,25.680,
2012-10,25.226,
2012-11,25.818,
2012-12,25.521,
2013-01,23.978,
2013-02,24.241,
2013-03,24.543,
2013-04,24.672,
2013-05,23.811,
2013-06,24.074,
2013-07,23.571,
2013-08,23.644,
2013-09,25.444,
2013-10,24.975,
2013-11,25.244,
2013-12,25.498,
2014-01,23.882,
2014-02,24.447,
2014-03,25.713,
2014-04,24.702,
2014-05,24.120,
2014-06,25.618,
2014-07,25.149,
2014-08,25.075,
2014-09,26.640,
2014-10,26.424,
2014-11,26.018,
2014-12,27.073,
"",General: Up to December including Niederl.Antillen,
