"",BBK01.CEH410,BBK01.CEH410_FLAGS
"",Loans debtor: Non-financial corporations                      creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:12:59,
1991-01,71.1,
1991-04,22.9,
1991-07,26.3,
1991-10,20.6,
1992-01,9.0,
1992-04,23.4,
1992-07,10.6,
1992-10,13.7,
1993-01,12.3,
1993-04,11.8,
1993-07,14.1,
1993-10,12.9,
1994-01,4.4,
1994-04,9.0,
1994-07,5.1,
1994-10,4.7,
1995-01,8.2,
1995-04,14.1,
1995-07,13.4,
1995-10,0.7,
1996-01,13.8,
1996-04,20.5,
1996-07,8.9,
1996-10,14.0,
1997-01,7.9,
1997-04,11.2,
1997-07,4.9,
1997-10,24.2,
1998-01,12.4,
1998-04,12.7,
1998-07,22.2,
1998-10,39.4,
1999-01,-1.2,
1999-04,17.0,
1999-07,16.6,
1999-10,42.7,
2000-01,-5.2,
2000-04,31.7,
2000-07,5.3,
2000-10,58.3,
2001-01,19.3,
2001-04,20.7,
2001-07,7.0,
2001-10,25.6,
2002-01,18.3,
2002-04,19.6,
2002-07,12.1,
2002-10,-11.6,
2003-01,-2.2,
2003-04,3.1,
2003-07,-16.9,
2003-10,-1.7,
2004-01,-17.2,
2004-04,-9.4,
2004-07,-22.6,
2004-10,-0.2,
2005-01,-19.8,
2005-04,4.6,
2005-07,3.4,
2005-10,-3.4,
2006-01,15.3,
2006-04,17.5,
2006-07,19.4,
2006-10,-3.8,
2007-01,15.1,
2007-04,9.0,
2007-07,7.2,
2007-10,27.7,
2008-01,-6.3,
2008-04,21.4,
2008-07,10.9,
2008-10,7.8,
2009-01,14.7,
2009-04,6.9,
2009-07,-24.0,
2009-10,-21.4,
2010-01,4.8,
2010-04,2.5,
2010-07,-5.2,
2010-10,-10.4,
2011-01,-14.2,
2011-04,6.5,
2011-07,13.8,
2011-10,21.4,
2012-01,-0.1,
2012-04,14.8,
2012-07,26.0,
2012-10,-21.7,
2013-01,19.7,
2013-04,11.7,
2013-07,-15.3,
2013-10,-9.8,
2014-01,13.5,
