"",BBK01.CEH310,BBK01.CEH310_FLAGS
"",Securities other than shares debtor: Non-financial corporations                   creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:27,
1991-01,-5.3,
1991-04,3.0,
1991-07,4.1,
1991-10,2.0,
1992-01,4.1,
1992-04,3.4,
1992-07,5.5,
1992-10,8.4,
1993-01,13.7,
1993-04,11.7,
1993-07,5.0,
1993-10,16.6,
1994-01,6.1,
1994-04,6.3,
1994-07,11.7,
1994-10,22.2,
1995-01,-77.5,
1995-04,1.0,
1995-07,0.1,
1995-10,-6.4,
1996-01,0.3,
1996-04,0.2,
1996-07,-1.7,
1996-10,-3.2,
1997-01,1.5,
1997-04,0.7,
1997-07,-0.9,
1997-10,-4.3,
1998-01,2.8,
1998-04,-2.1,
1998-07,1.3,
1998-10,-5.8,
1999-01,0.8,
1999-04,-0.4,
1999-07,2.1,
1999-10,-1.1,
2000-01,1.6,
2000-04,3.2,
2000-07,3.6,
2000-10,1.2,
2001-01,4.5,
2001-04,-0.1,
2001-07,6.4,
2001-10,-1.1,
2002-01,-2.5,
2002-04,5.0,
2002-07,5.0,
2002-10,-1.8,
2003-01,14.6,
2003-04,8.1,
2003-07,1.0,
2003-10,3.5,
2004-01,-1.9,
2004-04,3.8,
2004-07,2.9,
2004-10,-2.6,
2005-01,7.1,
2005-04,-1.1,
2005-07,-1.3,
2005-10,-1.6,
2006-01,8.2,
2006-04,7.9,
2006-07,-4.5,
2006-10,-6.3,
2007-01,5.1,
2007-04,2.9,
2007-07,-1.3,
2007-10,6.2,
2008-01,7.7,
2008-04,-5.5,
2008-07,1.3,
2008-10,3.6,
2009-01,-8.9,
2009-04,-0.9,
2009-07,3.4,
2009-10,2.4,
2010-01,6.8,
2010-04,-0.7,
2010-07,-4.5,
2010-10,2.6,
2011-01,4.5,
2011-04,-2.9,
2011-07,7.0,
2011-10,-1.0,
2012-01,3.1,
2012-04,3.9,
2012-07,7.1,
2012-10,4.7,
2013-01,9.1,
2013-04,3.2,
2013-07,-0.5,
2013-10,0.9,
2014-01,1.2,
