"",BBK01.OEAH75M,BBK01.OEAH75M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:03,
2002-01,0.303,
2002-04,0.322,
2002-07,0.340,
2002-10,0.354,
2003-01,0.328,
2003-04,0.317,
2003-07,0.333,
2003-10,0.279,
2004-01,0.250,
2004-04,0.258,
2004-07,0.261,
2004-10,0.287,
2005-01,0.286,
2005-04,0.271,
2005-07,0.263,
2005-10,0.294,
2006-01,0.209,
2006-04,0.219,
2006-07,0.247,
2006-10,0.265,
2007-01,0.470,
2007-04,0.409,
2007-07,0.468,
2007-10,0.421,
2008-01,0.204,
2008-04,0.203,
2008-07,0.198,
2008-10,0.187,
2009-01,0.227,
2009-04,0.361,
2009-07,0.447,
2009-10,0.445,
2010-01,0.448,
2010-04,0.392,
2010-07,0.352,
2010-10,0.372,
2011-01,0.365,
2011-04,0.386,
2011-07,0.624,
2011-10,0.646,
2012-01,0.642,
2012-04,0.652,
2012-07,0.432,
2012-10,0.420,
2013-01,0.485,
2013-04,0.517,
2013-07,0.583,
2013-10,0.592,
2014-01,0.551,
2014-04,0.506,
2014-07,0.533,
