"",BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.D1.FL._Z._T._X.N,BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.D1.FL._Z._T._X.N_FLAGS
"",IIP - Direct investment in direct investment enterprises - Debt instruments (FDI) - Net (Assets minus Liabilities) - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:55,
1999-10,-81413,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,-141088,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,-151060,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,-153812,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,-165425,
2004-01,-131664,
2004-04,-136541,
2004-07,-132411,
2004-10,-132254,
2005-01,-127518,
2005-04,-127443,
2005-07,-140805,
2005-10,-106141,
2006-01,-97019,
2006-04,-97882,
2006-07,-95632,
2006-10,-139795,
2007-01,-133485,
2007-04,-135798,
2007-07,-137991,
2007-10,-137729,
2008-01,-127669,
2008-04,-124227,
2008-07,-120414,
2008-10,-112556,
2009-01,-110285,
2009-04,-120381,
2009-07,-133128,
2009-10,-103065,
2010-01,-94016,
2010-04,-95795,
2010-07,-94931,
2010-10,-109816,
2011-01,-97670,
2011-04,-105417,
2011-07,-110975,
2011-10,-115495,
2012-01,-96518,
2012-04,-110956,
2012-07,-116796,
2012-10,33839,
2013-01,39245,
2013-04,45049,
2013-07,35264,
2013-10,13760,
2014-01,38141,
2014-04,35299,
2014-07,44508,
