"",BBSF2.M.1.P.00000.DAC01.I.F.AKR.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.DAC01.I.F.AKR.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Funds-of-funds / Loans received,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:31,
2009-09,3,
2009-10,8,
2009-11,0,
2009-12,1,
2010-01,4,
2010-02,5,
2010-03,4,
2010-04,11,
2010-05,9,
2010-06,3,
2010-07,12,
2010-08,6,
2010-09,19,
2010-10,16,
2010-11,19,
2010-12,16,
2011-01,31,
2011-02,25,
2011-03,69,
2011-04,28,
2011-05,15,
2011-06,32,
2011-07,33,
2011-08,16,
2011-09,15,
2011-10,19,
2011-11,8,
2011-12,11,
2012-01,29,
2012-02,23,
2012-03,15,
2012-04,54,
2012-05,12,
2012-06,9,
2012-07,38,
2012-08,8,
2012-09,12,
2012-10,45,
2012-11,17,
2012-12,50,
2013-01,14,
2013-02,6,
2013-03,6,
2013-04,23,
2013-05,11,
2013-06,14,
2013-07,6,
2013-08,20,
2013-09,12,
2013-10,6,
2013-11,5,
2013-12,1,
2014-01,17,
2014-02,13,
2014-03,6,
2014-04,21,
2014-05,25,
2014-06,2,
2014-07,2,
2014-08,6,
2014-09,10,
2014-10,10,
2014-11,10,
