"",BBSF2.M.1.S.00000.TOT01.I.F.BGH.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.BGH.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Deposits and loan claims,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:56,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,6338,
1993-05,6071,
1993-06,5795,
1993-07,6927,
1993-08,6374,
1993-09,7164,
1993-10,7754,
1993-11,8010,
1993-12,7000,
1994-01,8374,
1994-02,7266,
1994-03,6691,
1994-04,7448,
1994-05,6897,
1994-06,6582,
1994-07,6917,
1994-08,7898,
1994-09,8532,
1994-10,8844,
1994-11,7281,
1994-12,7224,
1995-01,7570,
1995-02,8442,
1995-03,9336,
1995-04,10256,
1995-05,12075,
1995-06,12318,
1995-07,10632,
1995-08,9674,
1995-09,9997,
1995-10,9077,
1995-11,8433,
1995-12,10434,
1996-01,11480,
1996-02,12889,
1996-03,12500,
1996-04,9609,
1996-05,10781,
1996-06,10917,
1996-07,12825,
1996-08,12185,
1996-09,11763,
1996-10,13658,
1996-11,10859,
1996-12,11459,
1997-01,11473,
1997-02,11198,
1997-03,13318,
1997-04,12149,
1997-05,12224,
1997-06,11713,
1997-07,12921,
1997-08,13758,
1997-09,13357,
1997-10,14871,
1997-11,14544,
1997-12,15820,
1998-01,17706,
1998-02,14863,
1998-03,16298,
1998-04,16785,
1998-05,16587,
1998-06,15700,
1998-07,16050,
1998-08,17148,
1998-09,20653,
1998-10,24801,
1998-11,23111,
1998-12,23351,
1999-01,20560,
1999-02,21708,
1999-03,20955,
1999-04,21056,
1999-05,23791,
1999-06,23365,
1999-07,23787,
1999-08,23063,
1999-09,24953,
1999-10,24913,
1999-11,23930,
1999-12,23410,
2000-01,28371,
2000-02,27845,
2000-03,25741,
2000-04,27049,
2000-05,28690,
2000-06,25095,
2000-07,23448,
2000-08,22652,
2000-09,21932,
2000-10,22473,
2000-11,22368,
2000-12,23403,
2001-01,23691,
2001-02,26725,
2001-03,24120,
2001-04,25124,
2001-05,25423,
2001-06,24822,
2001-07,24614,
2001-08,27609,
2001-09,32169,
2001-10,31704,
2001-11,32835,
2001-12,30545,
2002-01,28261,
2002-02,26867,
2002-03,26013,
2002-04,26591,
2002-05,27494,
2002-06,30650,
2002-07,33633,
2002-08,33158,
2002-09,35470,
2002-10,39289,
2002-11,45161,
2002-12,37008,
2003-01,36264,
2003-02,35354,
2003-03,39085,
2003-04,39182,
2003-05,39369,
2003-06,37992,
2003-07,36578,
2003-08,36940,
2003-09,36828,
2003-10,35841,
2003-11,35046,
2003-12,31056,
2004-01,34335,
2004-02,33004,
2004-03,32265,
2004-04,34045,
2004-05,31515,
2004-06,30021,
2004-07,29141,
2004-08,30111,
2004-09,28021,
2004-10,28155,
2004-11,29020,
2004-12,25828,
2005-01,29318,
2005-02,31385,
2005-03,28668,
2005-04,27943,
2005-05,26686,
2005-06,29564,
2005-07,30110,
2005-08,29302,
2005-09,30460,
2005-10,27801,
2005-11,26563,
2005-12,24592,
2006-01,25524,
2006-02,24406,
2006-03,26155,
2006-04,28417,
2006-05,29098,
2006-06,30128,
2006-07,27829,
2006-08,27515,
2006-09,27148,
2006-10,27024,
2006-11,26704,
2006-12,25487,
2007-01,30367,
2007-02,29250,
2007-03,28353,
2007-04,30830,
2007-05,28960,
2007-06,30886,
2007-07,30853,
2007-08,33596,
2007-09,37821,
2007-10,37431,
2007-11,40796,
2007-12,40886,
2008-01,45806,
2008-02,46285,
2008-03,51290,
2008-04,51357,
2008-05,54275,
2008-06,51472,
2008-07,54554,
2008-08,54101,
2008-09,58544,
2008-10,62152,
2008-11,60968,
2008-12,57183,
2009-01,54968,
2009-02,53354,
2009-03,50715,
2009-04,46559,
2009-05,40132,
2009-06,38417,
2009-07,36240,
2009-08,.,No value available
2009-09,48103,
2009-10,46211,
2009-11,44502,
2009-12,40933,
2010-01,42236,
2010-02,42020,
2010-03,36681,
2010-04,36330,
2010-05,39193,
2010-06,37835,
2010-07,39448,
2010-08,37752,
2010-09,37725,
2010-10,36306,
2010-11,38616,
2010-12,35579,
2011-01,39271,
2011-02,40020,
2011-03,38581,
2011-04,39252,
2011-05,38486,
2011-06,38726,
2011-07,40637,
2011-08,46340,
2011-09,49245,
2011-10,48905,
2011-11,49417,
2011-12,45468,
2012-01,47252,
2012-02,44436,
2012-03,43394,
2012-04,44144,
2012-05,44596,
2012-06,46937,
2012-07,47125,
2012-08,45992,
2012-09,47749,
2012-10,47356,
2012-11,46672,
2012-12,44490,
2013-01,46339,
2013-02,46385,
2013-03,47006,
2013-04,47204,
2013-05,45351,
2013-06,49373,
2013-07,47658,
2013-08,46585,
2013-09,46208,
2013-10,48810,
2013-11,45142,
2013-12,46124,
2014-01,48205,
2014-02,47936,
2014-03,46444,
2014-04,53811,
2014-05,53251,
2014-06,46108,
2014-07,47212,
2014-08,47090,
2014-09,48196,
2014-10,48192,
2014-11,46941,
