"",BBK01.OEYI03T,BBK01.OEYI03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:52,
2002-01,0.184,
2002-04,0.234,
2002-07,0.226,
2002-10,0.271,
2003-01,0.247,
2003-04,0.241,
2003-07,0.236,
2003-10,0.072,
2004-01,0.229,
2004-04,0.239,
2004-07,0.073,
2004-10,0.030,
2005-01,0.020,
2005-04,0.019,
2005-07,0.159,
2005-10,0.060,
2006-01,0.070,
2006-04,0.091,
2006-07,0.106,
2006-10,0.103,
2007-01,0.146,
2007-04,0.174,
2007-07,0.180,
2007-10,0.241,
2008-01,0.311,
2008-04,0.521,
2008-07,0.321,
2008-10,0.349,
2009-01,0.274,
2009-04,0.095,
2009-07,0.116,
2009-10,0.095,
2010-01,0.172,
2010-04,0.096,
2010-07,0.106,
2010-10,0.099,
2011-01,0.117,
2011-04,0.120,
2011-07,0.177,
2011-10,0.139,
2012-01,0.433,
2012-04,0.146,
2012-07,0.397,
2012-10,0.374,
2013-01,0.209,
2013-04,0.177,
2013-07,0.188,
2013-10,0.208,
2014-01,0.239,
2014-04,0.243,
2014-07,0.249,
