"",BBSF2.M.1.S.I0000.GEM01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0000.GEM01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Number / Domestic investors total / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:50:18,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,1325,
1993-05,1331,
1993-06,1340,
1993-07,1347,
1993-08,1351,
1993-09,1358,
1993-10,1370,
1993-11,1372,
1993-12,1382,
1994-01,1404,
1994-02,1427,
1994-03,1442,
1994-04,1460,
1994-05,1471,
1994-06,1480,
1994-07,1502,
1994-08,1519,
1994-09,1524,
1994-10,1525,
1994-11,1528,
1994-12,1547,
1995-01,1557,
1995-02,1572,
1995-03,1575,
1995-04,1582,
1995-05,1589,
1995-06,1596,
1995-07,1600,
1995-08,1611,
1995-09,1614,
1995-10,1616,
1995-11,1615,
1995-12,1628,
1996-01,1650,
1996-02,1666,
1996-03,1678,
1996-04,1694,
1996-05,1700,
1996-06,1707,
1996-07,1728,
1996-08,1754,
1996-09,1766,
1996-10,1789,
1996-11,1798,
1996-12,1824,
1997-01,1848,
1997-02,1877,
1997-03,1906,
1997-04,1926,
1997-05,1940,
1997-06,1967,
1997-07,2015,
1997-08,2056,
1997-09,2093,
1997-10,2124,
1997-11,2140,
1997-12,2172,
1998-01,2217,
1998-02,2261,
1998-03,2349,
1998-04,2362,
1998-05,2390,
1998-06,2430,
1998-07,2492,
1998-08,2554,
1998-09,2604,
1998-10,2639,
1998-11,2650,
1998-12,2698,
1999-01,2741,
1999-02,2767,
1999-03,2800,
1999-04,2828,
1999-05,2858,
1999-06,2896,
1999-07,2940,
1999-08,2986,
1999-09,2995,
1999-10,3030,
1999-11,3035,
1999-12,3089,
2000-01,3128,
2000-02,3160,
2000-03,3198,
2000-04,3238,
2000-05,3258,
2000-06,3278,
2000-07,3308,
2000-08,3329,
2000-09,3362,
2000-10,3401,
2000-11,3415,
2000-12,3445,
2001-01,3491,
2001-02,3523,
2001-03,3525,
2001-04,3543,
2001-05,3558,
2001-06,3563,
2001-07,3588,
2001-08,3594,
2001-09,3586,
2001-10,3581,
2001-11,3570,
2001-12,3555,
2002-01,3564,
2002-02,3552,
2002-03,3561,
2002-04,3580,
2002-05,3571,
2002-06,3565,
2002-07,3556,
2002-08,3558,
2002-09,3550,
2002-10,3540,
2002-11,3508,
2002-12,3459,
2003-01,3470,
2003-02,3451,
2003-03,3442,
2003-04,3437,
2003-05,3429,
2003-06,3410,
2003-07,3399,
2003-08,3406,
2003-09,3407,
2003-10,3408,
2003-11,3373,
2003-12,3363,
2004-01,3366,
2004-02,3346,
2004-03,3332,
2004-04,3328,
2004-05,3306,
2004-06,3299,
2004-07,3281,
2004-08,3275,
2004-09,3229,
2004-10,3206,
2004-11,3170,
2004-12,3113,
2005-01,3105,
2005-02,3067,
2005-03,3031,
2005-04,3015,
2005-05,2975,
2005-06,2955,
2005-07,2931,
2005-08,2919,
2005-09,2878,
2005-10,2829,
2005-11,2735,
2005-12,2639,
2006-01,2549,
2006-02,2540,
2006-03,2503,
2006-04,2473,
2006-05,2442,
2006-06,2421,
2006-07,2405,
2006-08,2384,
2006-09,2383,
2006-10,2360,
2006-11,2339,
2006-12,2304,
2007-01,2276,
2007-02,2267,
2007-03,2258,
2007-04,2302,
2007-05,2299,
2007-06,2299,
2007-07,2302,
2007-08,2303,
2007-09,2308,
2007-10,2304,
2007-11,2287,
2007-12,2290,
2008-01,2264,
2008-02,2248,
2008-03,2233,
2008-04,2227,
2008-05,2208,
2008-06,2194,
2008-07,2162,
2008-08,2156,
2008-09,2132,
2008-10,2097,
2008-11,2055,
2008-12,2004,
2009-01,1991,
2009-02,1981,
2009-03,1965,
2009-04,1892,
2009-05,1782,
2009-06,1761,
2009-07,1740,
2009-08,1735,
2009-09,1730,
2009-10,1722,
2009-11,1725,
2009-12,1696,
2010-01,1689,
2010-02,1661,
2010-03,1653,
2010-04,1609,
2010-05,1579,
2010-06,1567,
2010-07,1554,
2010-08,1563,
2010-09,1562,
2010-10,1562,
2010-11,1563,
2010-12,1669,
2011-01,1671,
2011-02,1666,
2011-03,1660,
2011-04,1664,
2011-05,1657,
2011-06,1651,
2011-07,1650,
2011-08,1643,
2011-09,1644,
2011-10,1632,
2011-11,1617,
2011-12,1603,
2012-01,1596,
2012-02,1594,
2012-03,1582,
2012-04,1585,
2012-05,1576,
2012-06,1573,
2012-07,1571,
2012-08,1568,
2012-09,1578,
2012-10,1580,
2012-11,1583,
2012-12,1584,
2013-01,1581,
2013-02,1583,
2013-03,1580,
2013-04,1584,
2013-05,1589,
2013-06,1590,
2013-07,1672,
2013-08,1675,
2013-09,1672,
2013-10,1663,
2013-11,1656,
2013-12,1662,
2014-01,1642,
2014-02,1653,
2014-03,1634,
2014-04,1633,
2014-05,1639,
2014-06,1623,
2014-07,1616,
2014-08,1725,
2014-09,1725,
2014-10,1722,
2014-11,1719,
