"",BBK01.OEBI09V,BBK01.OEBI09V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:12,
2002-01,0.641,
2002-04,0.604,
2002-07,0.622,
2002-10,0.598,
2003-01,0.546,
2003-04,0.495,
2003-07,0.456,
2003-10,0.432,
2004-01,0.417,
2004-04,0.390,
2004-07,0.363,
2004-10,0.354,
2005-01,0.377,
2005-04,0.353,
2005-07,0.286,
2005-10,0.280,
2006-01,0.279,
2006-04,0.306,
2006-07,0.329,
2006-10,0.382,
2007-01,0.582,
2007-04,0.660,
2007-07,0.752,
2007-10,0.910,
2008-01,0.991,
2008-04,1.051,
2008-07,1.122,
2008-10,1.508,
2009-01,1.448,
2009-04,1.400,
2009-07,1.387,
2009-10,1.173,
2010-01,0.991,
2010-04,0.955,
2010-07,0.932,
2010-10,1.109,
2011-01,1.259,
2011-04,1.295,
2011-07,1.307,
2011-10,1.282,
2012-01,1.213,
2012-04,1.211,
2012-07,1.141,
2012-10,0.995,
2013-01,0.855,
2013-04,0.756,
2013-07,0.714,
2013-10,0.669,
2014-01,0.654,
2014-04,0.644,
2014-07,0.765,
