"",BBFB1.M.N.DE.W1.S1.S1.T.C.D4S.D.F5._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.D4S.D.F5._Z._T._X.N_FLAGS
"",Current account / Primary income / Investment income / Income from Direct investment / Equity / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:31,
1991-01,489.464,
1991-02,410.694,
1991-03,306.613,
1991-04,448.583,
1991-05,521.301,
1991-06,321.655,
1991-07,500.184,
1991-08,422.599,
1991-09,385.416,
1991-10,389.972,
1991-11,275.477,
1991-12,609.917,
1992-01,436.682,
1992-02,213.093,
1992-03,342.657,
1992-04,406.070,
1992-05,372.324,
1992-06,300.143,
1992-07,373.037,
1992-08,537.068,
1992-09,176.328,
1992-10,303.909,
1992-11,166.214,
1992-12,436.194,
1993-01,562.363,
1993-02,286.051,
1993-03,519.936,
1993-04,711.177,
1993-05,251.440,
1993-06,324.579,
1993-07,587.135,
1993-08,429.875,
1993-09,452.047,
1993-10,425.359,
1993-11,249.037,
1993-12,856.239,
1994-01,650.041,
1994-02,320.011,
1994-03,895.767,
1994-04,794.688,
1994-05,377.282,
1994-06,548.761,
1994-07,628.105,
1994-08,348.650,
1994-09,491.122,
1994-10,320.422,
1994-11,281.222,
1994-12,800.334,
1995-01,662.140,
1995-02,513.000,
1995-03,857.261,
1995-04,723.610,
1995-05,421.836,
1995-06,773.192,
1995-07,786.240,
1995-08,360.862,
1995-09,634.625,
1995-10,401.394,
1995-11,283.774,
1995-12,1158.123,
1996-01,834.136,
1996-02,692.452,
1996-03,1341.715,
1996-04,1023.882,
1996-05,659.537,
1996-06,845.295,
1996-07,1234.148,
1996-08,697.985,
1996-09,777.410,
1996-10,713.208,
1996-11,665.958,
1996-12,1588.721,
1997-01,947.049,
1997-02,918.662,
1997-03,1129.870,
1997-04,1057.500,
1997-05,774.148,
1997-06,1130.675,
1997-07,915.247,
1997-08,776.618,
1997-09,729.928,
1997-10,1025.407,
1997-11,891.728,
1997-12,2403.792,
1998-01,943.791,
1998-02,375.546,
1998-03,1244.769,
1998-04,979.473,
1998-05,757.315,
1998-06,1400.983,
1998-07,1141.258,
1998-08,780.987,
1998-09,941.116,
1998-10,170.305,
1998-11,793.893,
1998-12,3198.371,
1999-01,413.707,
1999-02,716.486,
1999-03,1174.758,
1999-04,2309.979,
1999-05,845.172,
1999-06,1088.415,
1999-07,904.406,
1999-08,534.478,
1999-09,534.894,
1999-10,770.724,
1999-11,620.407,
1999-12,2549.071,
2000-01,411.195,
2000-02,104.849,
2000-03,2425.593,
2000-04,908.654,
2000-05,916.832,
2000-06,821.889,
2000-07,470.317,
2000-08,282.987,
2000-09,461.528,
2000-10,909.938,
2000-11,296.242,
2000-12,6021.053,
2001-01,177.174,
2001-02,96.820,
2001-03,161.886,
2001-04,97.001,
2001-05,71.484,
2001-06,60.828,
2001-07,115.345,
2001-08,86.888,
2001-09,62.834,
2001-10,175.477,
2001-11,135.525,
2001-12,213.555,
2002-01,406.052,
2002-02,544.892,
2002-03,593.381,
2002-04,596.509,
2002-05,561.479,
2002-06,693.199,
2002-07,677.822,
2002-08,660.243,
2002-09,834.250,
2002-10,733.542,
2002-11,716.785,
2002-12,836.209,
2003-01,1078.461,
2003-02,1050.906,
2003-03,1223.802,
2003-04,1216.670,
2003-05,1165.231,
2003-06,1366.480,
2003-07,1371.624,
2003-08,1290.027,
2003-09,1367.275,
2003-10,1362.100,
2003-11,1310.983,
2003-12,1948.828,
2004-01,3327.069,
2004-02,3280.745,
2004-03,3267.369,
2004-04,3325.973,
2004-05,3038.806,
2004-06,3224.236,
2004-07,3554.219,
2004-08,3227.014,
2004-09,3548.852,
2004-10,3476.479,
2004-11,3543.944,
2004-12,3875.860,
2005-01,4068.771,
2005-02,3770.774,
2005-03,3887.341,
2005-04,4154.711,
2005-05,3697.870,
2005-06,4010.358,
2005-07,4140.235,
2005-08,3913.447,
2005-09,4387.811,
2005-10,4146.563,
2005-11,4390.672,
2005-12,4624.580,
2006-01,4979.195,
2006-02,4743.277,
2006-03,4883.549,
2006-04,4925.636,
2006-05,4850.497,
2006-06,5179.044,
2006-07,5092.205,
2006-08,5000.761,
2006-09,5215.383,
2006-10,5307.422,
2006-11,5059.273,
2006-12,5799.366,
2007-01,6549.577,
2007-02,6198.057,
2007-03,6443.731,
2007-04,6309.421,
2007-05,5912.519,
2007-06,5896.368,
2007-07,5705.827,
2007-08,5093.584,
2007-09,4759.020,
2007-10,4576.207,
2007-11,3828.917,
2007-12,3767.897,
2008-01,2932.154,
2008-02,2058.270,
2008-03,1885.321,
2008-04,1637.647,
2008-05,1153.479,
2008-06,1359.125,
2008-07,1364.021,
2008-08,1213.771,
2008-09,1400.683,
2008-10,1605.889,
2008-11,1582.557,
2008-12,2092.709,
2009-01,3947.308,
2009-02,3707.826,
2009-03,3950.621,
2009-04,4046.774,
2009-05,3784.354,
2009-06,4142.866,
