"",BBK01.OEXI04O,BBK01.OEXI04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:50,
2002-01,-7.467,
2002-04,-5.805,
2002-07,-5.294,
2002-10,-6.802,
2003-01,-3.811,
2003-04,-4.502,
2003-07,-3.754,
2003-10,-2.252,
2004-01,-2.260,
2004-04,-2.516,
2004-07,-2.057,
2004-10,-1.897,
2005-01,0.769,
2005-04,0.639,
2005-07,0.515,
2005-10,0.542,
2006-01,0.495,
2006-04,0.343,
2006-07,0.441,
2006-10,0.554,
2007-01,0.494,
2007-04,0.426,
2007-07,0.475,
2007-10,0.564,
2008-01,0.582,
2008-04,0.528,
2008-07,0.595,
2008-10,0.682,
2009-01,0.533,
2009-04,0.534,
2009-07,0.484,
2009-10,0.466,
2010-01,0.506,
2010-04,0.630,
2010-07,0.574,
2010-10,0.634,
2011-01,0.637,
2011-04,0.616,
2011-07,0.608,
2011-10,0.641,
2012-01,0.635,
2012-04,0.713,
2012-07,0.747,
2012-10,0.830,
2013-01,0.740,
2013-04,0.783,
2013-07,0.777,
2013-10,0.757,
2014-01,0.756,
2014-04,0.761,
2014-07,0.827,
