"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.CZ.00000.F05100.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.CZ.00000.F05100.Z01.00_FLAGS
"",Public funds / Funds total / Shares / Czech Republic,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:24,
2009-09,20,
2009-10,18,
2009-11,18,
2009-12,23,
2010-01,24,
2010-02,26,
2010-03,27,
2010-04,28,
2010-05,26,
2010-06,25,
2010-07,27,
2010-08,24,
2010-09,23,
2010-10,23,
2010-11,21,
2010-12,21,
2011-01,23,
2011-02,23,
2011-03,24,
2011-04,25,
2011-05,25,
2011-06,22,
2011-07,25,
2011-08,99,
2011-09,17,
2011-10,17,
2011-11,12,
2011-12,13,
2012-01,15,
2012-02,16,
2012-03,14,
2012-04,13,
2012-05,12,
2012-06,13,
2012-07,14,
2012-08,15,
2012-09,16,
2012-10,14,
2012-11,11,
2012-12,11,
2013-01,11,
2013-02,11,
2013-03,9,
2013-04,8,
2013-05,8,
2013-06,8,
2013-07,8,
2013-08,8,
2013-09,18,
2013-10,21,
2013-11,20,
2013-12,21,
2014-01,22,
2014-02,22,
2014-03,23,
2014-04,23,
2014-05,24,
2014-06,25,
2014-07,24,
2014-08,25,
2014-09,26,
2014-10,24,
2014-11,24,
