"",BBK01.OEHI09T,BBK01.OEHI09T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:18,
2002-01,1.918,
2002-04,1.892,
2002-07,1.858,
2002-10,1.900,
2003-01,1.816,
2003-04,1.695,
2003-07,1.595,
2003-10,1.726,
2004-01,1.668,
2004-04,1.635,
2004-07,1.646,
2004-10,1.687,
2005-01,1.673,
2005-04,1.636,
2005-07,1.565,
2005-10,1.611,
2006-01,1.618,
2006-04,1.601,
2006-07,1.604,
2006-10,1.723,
2007-01,1.730,
2007-04,1.733,
2007-07,1.762,
2007-10,1.862,
2008-01,1.888,
2008-04,1.814,
2008-07,1.790,
2008-10,2.030,
2009-01,1.885,
2009-04,1.809,
2009-07,1.642,
2009-10,1.702,
2010-01,1.555,
2010-04,1.423,
2010-07,1.353,
2010-10,1.299,
2011-01,1.240,
2011-04,1.195,
2011-07,1.222,
2011-10,1.271,
2012-01,1.246,
2012-04,1.215,
2012-07,1.189,
2012-10,1.208,
2013-01,1.174,
2013-04,1.131,
2013-07,1.097,
2013-10,1.066,
2014-01,1.055,
2014-04,1.035,
2014-07,1.007,
