"",BBK01.OEXB07S,BBK01.OEXB07S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:02,
2002-01,0.131,
2002-04,0.127,
2002-07,0.132,
2002-10,0.139,
2003-01,0.137,
2003-04,0.137,
2003-07,0.144,
2003-10,0.144,
2004-01,0.154,
2004-04,0.158,
2004-07,0.160,
2004-10,0.163,
2005-01,0.160,
2005-04,0.171,
2005-07,0.165,
2005-10,0.161,
2006-01,0.164,
2006-04,0.168,
2006-07,0.166,
2006-10,0.178,
2007-01,0.184,
2007-04,0.181,
2007-07,0.181,
2007-10,0.129,
2008-01,0.134,
2008-04,0.137,
2008-07,0.133,
2008-10,0.136,
2009-01,0.126,
2009-04,0.122,
2009-07,0.131,
2009-10,0.124,
2010-01,0.128,
2010-04,0.135,
2010-07,0.148,
2010-10,0.139,
2011-01,0.138,
2011-04,0.144,
2011-07,0.140,
2011-10,0.130,
2012-01,0.126,
2012-04,0.124,
2012-07,0.118,
2012-10,0.115,
2013-01,0.114,
2013-04,0.115,
2013-07,0.117,
2013-10,0.121,
2014-01,0.121,
2014-04,0.123,
2014-07,0.136,
