"",BBK01.OEAH75S,BBK01.OEAH75S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:33,
2002-01,1.345,
2002-04,1.332,
2002-07,1.318,
2002-10,1.419,
2003-01,1.383,
2003-04,1.364,
2003-07,1.351,
2003-10,1.446,
2004-01,1.427,
2004-04,1.406,
2004-07,1.395,
2004-10,0.022,
2005-01,0.022,
2005-04,0.021,
2005-07,0.020,
2005-10,0.030,
2006-01,0.033,
2006-04,0.034,
2006-07,0.031,
2006-10,0.047,
2007-01,0.041,
2007-04,0.054,
2007-07,0.059,
2007-10,0.062,
2008-01,0.065,
2008-04,0.078,
2008-07,0.081,
2008-10,0.082,
2009-01,0.065,
2009-04,0.065,
2009-07,0.064,
2009-10,0.074,
2010-01,0.077,
2010-04,0.080,
2010-07,0.083,
2010-10,0.094,
2011-01,0.099,
2011-04,0.099,
2011-07,0.099,
2011-10,0.101,
2012-01,0.136,
2012-04,0.151,
2012-07,0.158,
2012-10,0.146,
2013-01,0.134,
2013-04,0.156,
2013-07,0.167,
2013-10,0.160,
2014-01,0.188,
2014-04,0.190,
2014-07,0.201,
