"",BBDE1.M.DE.Y.AEB5.A2Q501000.F.V.I10.A,BBDE1.M.DE.Y.AEB5.A2Q501000.F.V.I10.A_FLAGS
"","Orders received from abroad / At current prices, flows / Germany / Intermediate and capital goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:57,
1991-01,41.5,
1991-02,39.2,
1991-03,40.6,
1991-04,40.2,
1991-05,39.8,
1991-06,40.2,
1991-07,40.9,
1991-08,44.0,
1991-09,40.2,
1991-10,41.3,
1991-11,41.0,
1991-12,43.8,
1992-01,40.3,
1992-02,40.9,
1992-03,42.0,
1992-04,40.1,
1992-05,39.1,
1992-06,38.7,
1992-07,38.3,
1992-08,38.6,
1992-09,38.2,
1992-10,34.7,
1992-11,37.7,
1992-12,36.9,
1993-01,36.2,
1993-02,36.6,
1993-03,35.8,
1993-04,36.5,
1993-05,36.9,
1993-06,37.2,
1993-07,36.8,
1993-08,36.3,
1993-09,38.4,
1993-10,38.2,
1993-11,38.8,
1993-12,40.8,
1994-01,37.7,
1994-02,39.5,
1994-03,42.4,
1994-04,41.4,
1994-05,40.7,
1994-06,42.8,
1994-07,41.2,
1994-08,40.7,
1994-09,44.1,
1994-10,44.5,
1994-11,45.8,
1994-12,47.4,
1995-01,43.3,
1995-02,45.0,
1995-03,44.9,
1995-04,42.3,
1995-05,42.9,
1995-06,42.7,
1995-07,43.8,
1995-08,42.1,
1995-09,43.7,
1995-10,41.5,
1995-11,41.7,
1995-12,44.1,
1996-01,42.6,
1996-02,43.9,
1996-03,45.6,
1996-04,44.8,
1996-05,45.8,
1996-06,44.2,
1996-07,46.5,
1996-08,46.4,
1996-09,45.7,
1996-10,48.0,
1996-11,47.6,
1996-12,47.0,
1997-01,49.3,
1997-02,49.5,
1997-03,51.2,
1997-04,53.1,
1997-05,50.9,
1997-06,52.4,
1997-07,52.6,
1997-08,55.0,
1997-09,56.3,
1997-10,54.7,
1997-11,53.4,
1997-12,55.4,
1998-01,54.7,
1998-02,54.9,
1998-03,56.3,
1998-04,56.8,
1998-05,55.0,
1998-06,54.7,
1998-07,54.3,
1998-08,52.9,
1998-09,55.3,
1998-10,52.6,
1998-11,51.0,
1998-12,55.5,
1999-01,51.3,
1999-02,53.9,
1999-03,53.8,
1999-04,54.9,
1999-05,54.2,
1999-06,56.6,
1999-07,57.7,
1999-08,62.4,
1999-09,61.6,
1999-10,60.5,
1999-11,62.5,
1999-12,64.0,
2000-01,60.7,
2000-02,65.3,
2000-03,69.6,
2000-04,67.4,
2000-05,69.1,
2000-06,71.0,
2000-07,72.5,
2000-08,74.1,
2000-09,73.5,
2000-10,74.6,
2000-11,74.2,
2000-12,76.7,
2001-01,71.1,
2001-02,72.3,
2001-03,70.0,
2001-04,67.6,
2001-05,72.9,
2001-06,73.4,
2001-07,69.2,
2001-08,69.2,
2001-09,66.7,
2001-10,66.2,
2001-11,67.1,
2001-12,71.1,
2002-01,68.3,
2002-02,69.5,
2002-03,71.9,
2002-04,71.5,
2002-05,77.6,
2002-06,73.8,
2002-07,71.9,
2002-08,74.5,
2002-09,72.6,
2002-10,71.9,
2002-11,74.4,
2002-12,69.6,
2003-01,74.1,
2003-02,71.6,
2003-03,72.1,
2003-04,72.1,
2003-05,68.4,
2003-06,73.1,
2003-07,72.0,
2003-08,73.7,
2003-09,74.7,
2003-10,74.4,
2003-11,74.7,
2003-12,78.8,
2004-01,75.9,
2004-02,75.6,
2004-03,77.9,
2004-04,80.0,
2004-05,82.5,
2004-06,80.3,
2004-07,81.6,
2004-08,79.7,
2004-09,82.9,
2004-10,79.6,
2004-11,78.7,
2004-12,85.4,
2005-01,83.4,
2005-02,81.7,
2005-03,84.2,
2005-04,82.9,
2005-05,84.2,
2005-06,86.5,
2005-07,90.5,
2005-08,87.0,
2005-09,91.6,
2005-10,93.4,
2005-11,95.3,
2005-12,94.2,
2006-01,96.2,
2006-02,96.4,
2006-03,95.3,
2006-04,98.6,
2006-05,97.7,
2006-06,96.8,
2006-07,101.0,
2006-08,104.1,
2006-09,98.7,
2006-10,101.8,
2006-11,102.1,
2006-12,103.3,
2007-01,105.0,
2007-02,110.0,
2007-03,109.2,
2007-04,107.8,
2007-05,112.0,
2007-06,117.7,
2007-07,109.9,
2007-08,111.4,
2007-09,111.2,
2007-10,117.3,
2007-11,119.6,
2007-12,116.8,
2008-01,115.8,
2008-02,116.5,
2008-03,113.9,
2008-04,114.9,
2008-05,112.6,
2008-06,105.3,
2008-07,107.3,
2008-08,108.3,
2008-09,98.8,
2008-10,92.0,
2008-11,86.0,
2008-12,77.0,
2009-01,66.5,
2009-02,66.4,
2009-03,70.2,
2009-04,69.0,
2009-05,71.4,
2009-06,76.3,
2009-07,76.4,
2009-08,78.8,
2009-09,85.0,
2009-10,80.3,
2009-11,84.7,
2009-12,82.6,
2010-01,86.6,
2010-02,87.9,
2010-03,92.9,
2010-04,96.6,
2010-05,97.8,
2010-06,101.7,
2010-07,101.0,
2010-08,106.3,
2010-09,102.5,
2010-10,102.4,
2010-11,112.0,
2010-12,108.4,
2011-01,112.5,
2011-02,112.8,
2011-03,109.7,
2011-04,111.7,
2011-05,107.6,
2011-06,118.7,
2011-07,110.2,
2011-08,111.7,
2011-09,106.3,
2011-10,110.5,
2011-11,103.7,
2011-12,109.7,
2012-01,105.9,
