"",BBFB1.Q.N.DE.W00200.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.W00200.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Industrial Countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:23,
1991-01,1970.537,
1991-04,6442.999,
1991-07,11623.820,
1991-10,13138.354,
1992-01,2148.659,
1992-04,2674.084,
1992-07,23074.814,
1992-10,27076.707,
1993-01,36922.171,
1993-04,32211.282,
1993-07,20673.051,
1993-10,26624.507,
1994-01,-5844.382,
1994-04,-4800.777,
1994-07,5559.847,
1994-10,12627.421,
1995-01,-130.486,
1995-04,14734.670,
1995-07,11623.575,
1995-10,12156.575,
1996-01,16619.462,
1996-04,15878.776,
1996-07,17660.112,
1996-10,18209.452,
1997-01,20015.919,
1997-04,14068.455,
1997-07,28296.170,
1997-10,15246.644,
1998-01,22157.084,
1998-04,34679.030,
1998-07,42502.639,
1998-10,28144.772,
1999-01,20393.403,
1999-04,46247.256,
1999-07,51224.663,
1999-10,37865.710,
2000-01,-86924.491,
2000-04,81899.257,
2000-07,27110.334,
2000-10,22640.040,
2001-01,3716.785,
2001-04,79963.915,
2001-07,36864.986,
2001-10,26146.847,
2002-01,27329.999,
2002-04,56615.348,
2002-07,42053.745,
2002-10,3127.701,
2003-01,34992.162,
2003-04,33742.272,
2003-07,-4591.664,
2003-10,28327.007,
2004-01,44681.224,
2004-04,6411.320,
2004-07,55028.285,
2004-10,12654.966,
2005-01,46899.396,
2005-04,67341.888,
2005-07,33893.197,
2005-10,12442.538,
2006-01,56796.498,
2006-04,7218.711,
2006-07,20059.123,
2006-10,56540.933,
2007-01,65986.813,
2007-04,99977.354,
2007-07,50404.884,
2007-10,78787.932,
2008-01,2348.326,
2008-04,17401.912,
2008-07,13759.709,
2008-10,-60303.588,
2009-01,-28039.756,
2009-04,17421.825,
2009-07,-3966.019,
2009-10,-23992.649,
2010-01,7746.087,
2010-04,1370.821,
2010-07,24792.980,
2010-10,-3892.439,
2011-01,27349.168,
2011-04,24499.494,
2011-07,13065.767,
2011-10,-45593.778,
2012-01,1451.739,
2012-04,27435.031,
2012-07,463.985,
2012-10,10003.130,
2013-01,163.802,
2013-04,-18681.221,
2013-07,-12808.375,
2013-10,-15967.944,
2014-01,5354.374,Provisional value
2014-04,16626.432,Provisional value
2014-07,-758.958,Provisional value
2014-10,-6729.886,Provisional value
