"",BBFB1.Q.N.DE.PL.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.PL.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Poland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:24,
1991-01,-0.032,
1991-04,-0.036,
1991-07,0.016,
1991-10,-0.175,
1992-01,0.005,
1992-04,0.002,
1992-07,-0.049,
1992-10,0.065,
1993-01,-0.246,
1993-04,0.178,
1993-07,-0.601,
1993-10,0.136,
1994-01,-0.238,
1994-04,2.122,
1994-07,0.165,
1994-10,-0.072,
1995-01,-0.013,
1995-04,0.018,
1995-07,-0.044,
1995-10,0.053,
1996-01,-0.058,
1996-04,0.034,
1996-07,-0.029,
1996-10,0.534,
1997-01,0.344,
1997-04,0.415,
1997-07,0.410,
1997-10,-0.064,
1998-01,0.083,
1998-04,-0.252,
1998-07,-0.049,
1998-10,0.460,
1999-01,-0.048,
1999-04,-0.033,
1999-07,1.106,
1999-10,0.466,
2000-01,-0.410,
2000-04,6.521,
2000-07,4.710,
2000-10,-0.287,
2001-01,8.443,
2001-04,5.106,
2001-07,-5.601,
2001-10,-22.649,
2002-01,-18.750,
2002-04,-7.340,
2002-07,-7.948,
2002-10,-21.721,
2003-01,-20.318,
2003-04,0.592,
2003-07,-6.060,
2003-10,-6.033,
2004-01,-16.852,
2004-04,-2.893,
2004-07,15.448,
2004-10,-47.691,
2005-01,-20.668,
2005-04,-7.003,
2005-07,17.135,
2005-10,10.955,
2006-01,5.452,
2006-04,15.584,
2006-07,36.292,
2006-10,-23.191,
2007-01,2.049,
2007-04,27.868,
2007-07,65.190,
2007-10,-307.073,
2008-01,204.928,
2008-04,93.575,
2008-07,150.860,
2008-10,-13.634,
2009-01,26.428,
2009-04,33.075,
2009-07,-27.549,
2009-10,-7.748,
2010-01,-32.194,
2010-04,-53.605,
2010-07,-4.496,
2010-10,29.271,
2011-01,33.785,
2011-04,-146.892,
2011-07,-16.225,
2011-10,24.589,
2012-01,-29.936,
2012-04,22.472,
2012-07,10.160,
2012-10,17.406,
2013-01,-19.696,
2013-04,-53.926,
2013-07,-64.391,
2013-10,-8.300,
2014-01,-66.845,Provisional value
2014-04,-5.421,Provisional value
2014-07,-61.785,Provisional value
2014-10,-42.222,Provisional value
