"",BBK01.OEXI06J,BBK01.OEXI06J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:01,
2002-01,0.179,
2002-04,0.180,
2002-07,0.175,
2002-10,0.173,
2003-01,0.171,
2003-04,0.170,
2003-07,0.157,
2003-10,0.146,
2004-01,0.153,
2004-04,0.150,
2004-07,0.163,
2004-10,0.152,
2005-01,0.162,
2005-04,0.158,
2005-07,0.155,
2005-10,0.155,
2006-01,0.149,
2006-04,0.152,
2006-07,0.155,
2006-10,0.158,
2007-01,0.155,
2007-04,0.158,
2007-07,0.155,
2007-10,0.164,
2008-01,0.182,
2008-04,0.194,
2008-07,0.198,
2008-10,0.222,
2009-01,0.252,
2009-04,0.230,
2009-07,0.215,
2009-10,0.198,
2010-01,0.195,
2010-04,0.229,
2010-07,0.249,
2010-10,0.269,
2011-01,0.289,
2011-04,0.310,
2011-07,0.324,
2011-10,0.322,
2012-01,0.317,
2012-04,0.323,
2012-07,0.319,
2012-10,0.313,
2013-01,0.286,
2013-04,0.252,
2013-07,0.242,
2013-10,0.233,
2014-01,0.224,
2014-04,0.220,
2014-07,0.197,
