"",BBK01.OECJ05V,BBK01.OECJ05V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:41,
2002-01,0.016,
2002-04,0.019,
2002-07,0.020,
2002-10,0.018,
2003-01,0.018,
2003-04,0.017,
2003-07,0.017,
2003-10,0.017,
2004-01,0.016,
2004-04,0.015,
2004-07,0.014,
2004-10,0.013,
2005-01,0.036,
2005-04,0.035,
2005-07,0.035,
2005-10,0.035,
2006-01,0.036,
2006-04,0.035,
2006-07,0.035,
2006-10,0.035,
2007-01,0.035,
2007-04,0.054,
2007-07,0.055,
2007-10,0.055,
2008-01,0.053,
2008-04,0.051,
2008-07,0.060,
2008-10,0.068,
2009-01,0.068,
2009-04,0.083,
2009-07,0.105,
2009-10,0.110,
2010-01,0.110,
2010-04,0.113,
2010-07,0.133,
2010-10,0.114,
2011-01,0.137,
2011-04,0.134,
2011-07,0.123,
2011-10,0.121,
2012-01,0.123,
2012-04,0.131,
2012-07,0.129,
2012-10,0.127,
2013-01,0.127,
2013-04,0.138,
2013-07,0.130,
2013-10,0.135,
2014-01,0.127,
2014-04,0.122,
2014-07,0.119,
