"",BBSF2.M.1.S.00000.SON01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.SON01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Other funds / Sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:53:55,
2009-09,623,
2009-10,480,
2009-11,1733,
2009-12,544,
2010-01,557,
2010-02,39,
2010-03,380,
2010-04,90,
2010-05,360,
2010-06,53,
2010-07,529,
2010-08,221,
2010-09,396,
2010-10,205,
2010-11,109,
2010-12,486,
2011-01,36,
2011-02,171,
2011-03,66,
2011-04,159,
2011-05,175,
2011-06,292,
2011-07,80,
2011-08,1486,
2011-09,42,
2011-10,105,
2011-11,124,
2011-12,218,
2012-01,136,
2012-02,154,
2012-03,261,
2012-04,106,
2012-05,90,
2012-06,31,
2012-07,238,
2012-08,632,
2012-09,246,
2012-10,137,
2012-11,103,
2012-12,468,
2013-01,180,
2013-02,105,
2013-03,470,
2013-04,1015,
2013-05,479,
2013-06,83,
2013-07,424,
2013-08,127,
2013-09,471,
2013-10,48,
2013-11,206,
2013-12,640,
2014-01,322,
2014-02,649,
2014-03,411,
2014-04,132,
2014-05,263,
2014-06,318,
2014-07,627,
2014-08,251,
2014-09,363,
2014-10,285,
2014-11,658,
