"",BBK01.OEAE28M,BBK01.OEAE28M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:29,
2002-01,37.796,
2002-04,37.649,
2002-07,38.158,
2002-10,38.628,
2003-01,38.611,
2003-04,39.006,
2003-07,39.010,
2003-10,39.410,
2004-01,39.504,
2004-04,39.656,
2004-07,39.444,
2004-10,38.714,
2005-01,38.304,
2005-04,37.970,
2005-07,37.243,
2005-10,37.991,
2006-01,37.609,
2006-04,36.868,
2006-07,36.056,
2006-10,35.837,
2007-01,35.568,
2007-04,35.505,
2007-07,35.935,
2007-10,36.099,
2008-01,35.782,
2008-04,35.951,
2008-07,36.324,
2008-10,36.533,
2009-01,35.741,
2009-04,36.283,
2009-07,36.182,
2009-10,36.859,
2010-01,33.392,
2010-04,33.276,
2010-07,32.984,
2010-10,36.053,
2011-01,35.727,
2011-04,36.318,
2011-07,35.906,
2011-10,36.104,
2012-01,35.819,
2012-04,37.105,
2012-07,37.288,
2012-10,37.440,
2013-01,37.367,
2013-04,37.406,
2013-07,37.391,
2013-10,38.391,
2014-01,38.170,
2014-04,38.711,
2014-07,38.931,
