"",BBSF2.M.1.T.00000.HED01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.HED01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Hedgefunds / Securities total,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:09,
2009-09,824,
2009-10,835,
2009-11,809,
2009-12,862,
2010-01,979,
2010-02,994,
2010-03,1015,
2010-04,7764,
2010-05,4456,
2010-06,1143,
2010-07,1038,
2010-08,1051,
2010-09,1041,
2010-10,1052,
2010-11,1100,
2010-12,1105,
2011-01,1103,
2011-02,1127,
2011-03,1097,
2011-04,1143,
2011-05,1182,
2011-06,1137,
2011-07,1099,
2011-08,1083,
2011-09,1089,
2011-10,1139,
2011-11,1128,
2011-12,1144,
2012-01,1199,
2012-02,1231,
2012-03,1524,
2012-04,3092,
2012-05,2143,
2012-06,1821,
2012-07,1368,
2012-08,1364,
2012-09,1377,
2012-10,1482,
2012-11,1381,
2012-12,1399,
2013-01,1428,
2013-02,1454,
2013-03,1517,
2013-04,2346,
2013-05,1636,
2013-06,1619,
2013-07,1659,
2013-08,1587,
2013-09,1617,
2013-10,1728,
2013-11,1758,
2013-12,1748,
2014-01,1784,
2014-02,1813,
2014-03,1842,
2014-04,4710,
2014-05,1923,
2014-06,1906,
2014-07,1942,
2014-08,1984,
2014-09,2021,
2014-10,2075,
2014-11,2112,
