"",BBK01.OEAA55P,BBK01.OEAA55P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:09,
2002-01,1.168,
2002-04,1.177,
2002-07,1.202,
2002-10,1.246,
2003-01,1.256,
2003-04,1.316,
2003-07,1.368,
2003-10,1.429,
2004-01,1.496,
2004-04,1.517,
2004-07,1.490,
2004-10,1.529,
2005-01,1.551,
2005-04,1.625,
2005-07,1.614,
2005-10,1.631,
2006-01,1.570,
2006-04,1.511,
2006-07,1.479,
2006-10,1.502,
2007-01,1.539,
2007-04,1.579,
2007-07,1.593,
2007-10,1.653,
2008-01,1.657,
2008-04,1.823,
2008-07,1.969,
2008-10,1.995,
2009-01,2.005,
2009-04,1.956,
2009-07,1.958,
2009-10,1.937,
2010-01,1.891,
2010-04,2.489,
2010-07,2.396,
2010-10,2.128,
2011-01,2.107,
2011-04,2.168,
2011-07,2.150,
2011-10,2.278,
2012-01,2.302,
2012-04,2.432,
2012-07,2.413,
2012-10,2.492,
2013-01,2.483,
2013-04,3.715,
2013-07,3.754,
2013-10,3.745,
2014-01,3.802,
2014-04,3.771,
2014-07,3.772,
