"",BBEX3.M.CVE.USD.CA.AC.A01,BBEX3.M.CVE.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Cabo Verde / USD 1 = CVE ... (middle),
unit,CVE (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:56,
1981-01,44.4150,
1981-02,45.5450,
1981-03,45.9650,
1981-04,47.2450,
1981-05,48.8950,
1981-06,49.9850,
1981-07,51.5550,
1981-08,51.9150,
1981-09,50.6750,
1981-10,51.2150,
1981-11,50.2450,
1981-12,50.8650,
1982-01,52.0550,
1982-02,53.3250,
1982-03,54.6850,
1982-04,54.1950,
1982-05,54.3250,
1982-06,60.6950,
1982-07,60.6850,
1982-08,61.6350,
1982-09,62.6450,
1982-10,63.9250,
1982-11,64.3050,
1982-12,63.0350,
1983-01,64.9050,
1983-02,64.9750,
1983-03,67.7450,
1983-04,68.3050,
1983-05,68.8550,
1983-06,72.6250,
1983-07,74.3850,
1983-08,76.2650,
1983-09,76.0550,
1983-10,76.1250,
1983-11,78.4750,
1983-12,79.9750,
1984-01,82.0150,
1984-02,78.2150,
1984-03,78.2550,
1984-04,80.8850,
1984-05,82.4750,
1984-06,84.3550,
1984-07,86.4550,
1984-08,86.2450,
1984-09,89.2650,
1984-10,90.7650,
1984-11,91.1850,
1984-12,93.0150,
1985-01,94.0250,
1985-02,98.0350,
1985-03,93.9500,
1985-04,94.8150,
1985-05,93.1450,
1985-06,93.4150,
1985-07,89.5650,
1985-08,88.9350,
1985-09,89.0450,
1985-10,87.3450,
1985-11,85.8650,
1985-12,85.3750,
1986-01,84.0050,
1986-02,80.8450,
1986-03,82.1250,
1986-04,79.5950,
1986-05,82.2250,
1986-06,81.1650,
1986-07,78.7350,
1986-08,77.4150,
1986-09,77.6850,
1986-10,78.1650,
1986-11,77.6350,
1986-12,76.5650,
1987-01,72.0450,
1987-02,73.2750,
1987-03,72.3550,
1987-04,71.9850,
1987-05,73.0350,
1987-06,73.5450,
1987-07,74.5250,
1987-08,73.3050,
1987-09,73.4150,
1987-10,71.5350,
1987-11,68.5550,
1987-12,65.7750,
1988-01,68.9550,
1988-02,69.5850,
1988-03,68.4650,
1988-04,68.4250,
1988-05,70.2750,
1988-06,74.6350,
1988-07,75.4850,
1988-08,76.7850,
1988-09,77.3350,
1988-10,73.5050,
1988-11,71.5850,
1988-12,73.6650,
1989-01,76.2450,
1989-02,74.6150,
1989-03,76.4650,
1989-04,76.9850,
1989-05,82.5250,
1989-06,80.8850,
1989-07,77.7450,
1989-08,80.1550,
1989-09,78.8150,
1989-10,77.6150,
1989-11,76.3450,
1989-12,73.0450,
1990-01,72.4050,
1990-02,72.8150,
1990-03,74.3050,
1990-04,73.2150,
1990-05,72.1850,
1990-06,71.8950,
1990-07,69.4950,
1990-08,67.7950,
1990-09,68.3150,
1990-10,65.7650,
1990-11,64.5450,
1990-12,66.0850,
1991-01,64.5950,
1991-02,65.8350,
1991-03,73.3050,
1991-04,75.4550,
1991-05,73.5150,
1991-06,77.2850,
1991-07,74.4950,
1991-08,73.9950,
1991-09,72.2950,
1991-10,73.2950,
1991-11,70.5050,
1991-12,66.1650,
1992-01,68.7650,
1992-02,70.0050,
1992-03,71.2450,
1992-04,70.1050,
1992-05,68.5150,
1992-06,64.8350,
1992-07,63.0950,
1992-08,60.9050,
1992-09,62.7250,
1992-10,67.9450,
1992-11,72.9250,
1992-12,75.3350,
1993-01,74.1950,
1993-02,77.6250,
1993-03,77.7150,
1993-04,75.2850,
1993-05,76.8750,
1993-06,81.1550,
1993-07,85.4850,
1993-08,83.7850,
1993-09,81.9150,
1993-10,85.1050,
1993-11,85.9650,
1993-12,85.9850,
1994-01,85.6650,
1994-02,85.1850,
1994-03,84.4150,
1994-04,83.7150,
1994-05,82.8850,
1994-06,79.1550,
1994-07,78.5150,
1994-08,78.9650,
1994-09,79.4850,
1994-10,77.9650,
1994-11,81.1850,
1994-12,81.1350,
1995-01,79.5550,
1995-02,77.5950,
1995-03,75.8150,
1995-04,74.7450,
1995-05,74.8350,
1995-06,75.1650,
1995-07,74.3050,
1995-08,78.0650,
1995-09,76.5350,
1995-10,76.6850,
1995-11,77.4450,
1995-12,77.4550,
1996-01,80.6850,
1996-02,79.8750,
1996-03,81.2350,
1996-04,84.1250,
1996-05,84.1950,
1996-06,83.9150,
1996-07,82.0150,
1996-08,81.8850,
1996-09,83.7050,
1996-10,82.8550,
1996-11,83.9250,
1996-12,85.1650,
1997-01,88.8950,
