"",BBK01.OEAA05V,BBK01.OEAA05V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:21:03,
2002-01,54.767,
2002-04,54.508,
2002-07,55.039,
2002-10,55.193,
2003-01,54.508,
2003-04,53.022,
2003-07,53.175,
2003-10,52.959,
2004-01,52.726,
2004-04,53.000,
2004-07,53.308,
2004-10,52.503,
2005-01,53.419,
2005-04,53.640,
2005-07,53.775,
2005-10,53.576,
2006-01,52.878,
2006-04,52.951,
2006-07,52.806,
2006-10,52.814,
2007-01,52.043,
2007-04,51.231,
2007-07,51.332,
2007-10,50.854,
2008-01,49.302,
2008-04,41.384,
2008-07,41.836,
2008-10,42.205,
2009-01,41.010,
2009-04,44.963,
2009-07,44.985,
2009-10,48.410,
2010-01,48.354,
2010-04,47.355,
2010-07,45.767,
2010-10,45.797,
2011-01,46.387,
2011-04,46.552,
2011-07,48.445,
2011-10,48.272,
2012-01,48.326,
2012-04,50.126,
2012-07,50.246,
2012-10,49.861,
2013-01,49.675,
2013-04,49.790,
2013-07,50.129,
2013-10,50.304,
2014-01,50.710,
2014-04,51.042,
2014-07,51.184,
