"",BBK01.OEAD27L,BBK01.OEAD27L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:01,
2002-01,0.293,
2002-04,0.289,
2002-07,0.308,
2002-10,0.322,
2003-01,0.276,
2003-04,0.283,
2003-07,0.227,
2003-10,0.218,
2004-01,0.223,
2004-04,0.212,
2004-07,0.255,
2004-10,0.173,
2005-01,0.176,
2005-04,0.177,
2005-07,0.181,
2005-10,0.183,
2006-01,0.182,
2006-04,0.193,
2006-07,0.179,
2006-10,0.250,
2007-01,0.275,
2007-04,0.280,
2007-07,0.265,
2007-10,0.328,
2008-01,0.350,
2008-04,0.333,
2008-07,0.589,
2008-10,0.308,
2009-01,0.282,
2009-04,0.286,
2009-07,0.310,
2009-10,0.439,
2010-01,0.443,
2010-04,0.472,
2010-07,0.424,
2010-10,0.403,
2011-01,0.412,
2011-04,0.398,
2011-07,0.386,
2011-10,0.414,
2012-01,0.386,
2012-04,0.392,
2012-07,0.290,
2012-10,0.221,
2013-01,0.215,
2013-04,0.193,
2013-07,0.288,
2013-10,0.289,
2014-01,0.293,
2014-04,0.282,
2014-07,0.269,
