"",BBK01.OEAA18P,BBK01.OEAA18P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:54,
2002-01,2.030,
2002-04,2.055,
2002-07,2.048,
2002-10,1.581,
2003-01,1.715,
2003-04,1.571,
2003-07,1.514,
2003-10,1.343,
2004-01,1.233,
2004-04,1.172,
2004-07,1.273,
2004-10,1.169,
2005-01,1.197,
2005-04,1.230,
2005-07,1.185,
2005-10,1.155,
2006-01,1.145,
2006-04,1.255,
2006-07,1.238,
2006-10,1.234,
2007-01,1.199,
2007-04,1.179,
2007-07,1.184,
2007-10,1.166,
2008-01,1.128,
2008-04,1.218,
2008-07,1.192,
2008-10,1.164,
2009-01,1.146,
2009-04,1.104,
2009-07,1.032,
2009-10,1.019,
2010-01,1.090,
2010-04,0.964,
2010-07,0.947,
2010-10,0.960,
2011-01,1.063,
2011-04,1.088,
2011-07,1.065,
2011-10,1.038,
2012-01,1.411,
2012-04,1.198,
2012-07,1.245,
2012-10,1.135,
2013-01,1.146,
2013-04,1.148,
2013-07,1.184,
2013-10,1.180,
2014-01,1.171,
2014-04,1.129,
2014-07,1.185,
