"",BBBPS.Q.DE.N.SG1100.I010.X.X.Z5.0000.Z01.E,BBBPS.Q.DE.N.SG1100.I010.X.X.Z5.0000.Z01.E_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-30 12:31:51,
2008-01,8.333,
2008-04,8.840,
2008-07,9.197,
2008-10,10.873,
2009-01,10.384,
2009-04,9.479,
2009-07,10.127,
2009-10,9.905,
2010-01,10.075,
2010-04,10.631,
2010-07,9.681,
2010-10,10.267,
2011-01,9.847,
2011-04,10.528,
2011-07,10.254,
2011-10,9.987,
2012-01,9.771,
2012-04,9.850,
2012-07,9.269,
2012-10,9.745,
2013-01,8.732,
2013-04,8.976,
2013-07,8.704,
2013-10,9.195,
2014-01,7.821,
2014-04,8.942,
2014-07,8.492,Provisional value
