"",BBK01.OXA8V6,BBK01.OXA8V6_FLAGS
"",Net total of housing loans sold to/bought from domestic households and non-profit institutions during the reporting period - of which: on-balance true sale of domestic banks (MFIs) - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:55,
2009-12,-,Nothing exists
2010-01,-0.145,
2010-02,-,Nothing exists
2010-03,0.003,
2010-04,-,Nothing exists
2010-05,0.123,
2010-06,-0.028,
2010-07,-0.142,
2010-08,0.175,
2010-09,-0.014,
2010-10,0.015,
2010-11,0.112,
2010-12,-0.299,
2011-01,-0.083,
2011-02,0.179,
2011-03,-0.002,
2011-04,-0.071,
2011-05,0.102,
2011-06,-0.008,
2011-07,-0.080,
2011-08,0.105,
2011-09,0.011,
2011-10,-0.035,
2011-11,0.020,
2011-12,-0.034,
2012-01,-0.041,
2012-02,0.169,
2012-03,0.003,
2012-04,-5.448,
2012-05,0.035,
2012-06,-0.073,
2012-07,-0.123,
2012-08,-0.013,
2012-09,-0.177,
2012-10,-0.197,
2012-11,-0.050,
2012-12,-0.222,
2013-01,-0.154,
2013-02,0.061,
2013-03,-0.069,
2013-04,-0.139,
2013-05,0.116,
2013-06,-0.048,
2013-07,-0.086,
2013-08,0.104,
2013-09,-0.120,
2013-10,-0.044,
2013-11,0.104,
2013-12,-0.039,
2014-01,-0.145,
2014-02,0.141,
2014-03,-0.123,
2014-04,0.213,
2014-05,0.145,
2014-06,-0.076,
2014-07,-0.069,
2014-08,0.099,
2014-09,-0.102,
2014-10,-0.057,
2014-11,0.189,
2014-12,-0.075,Provisional value
