"",BBFN1.M.DE.N.1.A.G9.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.G9.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Total / Other European countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:19,
1995-01,1.692,
1995-02,1.700,
1995-03,1.682,
1995-04,1.714,
1995-05,1.734,
1995-06,1.674,
1995-07,1.685,
1995-08,1.726,
1995-09,1.684,
1995-10,1.730,
1995-11,1.723,
1995-12,1.603,
1996-01,1.626,
1996-02,1.671,
1996-03,1.667,
1996-04,1.648,
1996-05,1.738,
1996-06,1.821,
1996-07,1.843,
1996-08,1.883,
1996-09,1.845,
1996-10,1.856,
1996-11,1.978,
1996-12,1.995,
1997-01,2.033,
1997-02,2.032,
1997-03,2.104,
1997-04,2.145,
1997-05,2.179,
1997-06,2.248,
1997-07,2.340,
1997-08,2.338,
1997-09,2.280,
1997-10,2.394,
1997-11,2.368,
1997-12,2.411,
1998-01,2.474,
1998-02,2.525,
1998-03,2.592,
1998-04,2.635,
1998-05,2.771,
1998-06,2.816,
1998-07,2.826,
1998-08,2.943,
1998-09,2.900,
1998-10,2.894,
1998-11,2.977,
1998-12,2.995,
1999-01,3.001,
1999-02,3.066,
1999-03,3.229,
1999-04,3.385,
1999-05,3.442,
1999-06,3.469,
1999-07,4.382,
1999-08,4.424,
1999-09,4.765,
1999-10,3.768,
1999-11,3.911,
1999-12,3.821,
2000-01,3.823,
2000-02,3.809,
2000-03,3.830,
2000-04,3.794,
2000-05,3.787,
2000-06,3.951,
2000-07,3.920,
2000-08,3.960,
2000-09,3.964,
2000-10,4.124,
2000-11,4.264,
2000-12,4.236,
2001-01,4.188,
2001-02,4.260,
2001-03,4.386,
2001-04,4.466,
2001-05,4.676,
2001-06,4.826,
2001-07,4.849,
2001-08,4.934,
2001-09,5.026,
2001-10,5.040,
2001-11,4.513,
2001-12,4.439,
2002-01,4.445,
2002-02,4.473,
2002-03,4.236,
2002-04,4.227,
2002-05,4.264,
2002-06,4.364,
2002-07,4.354,
2002-08,4.378,
2002-09,4.406,
2002-10,4.428,
2002-11,4.377,
2002-12,4.438,
2003-01,4.523,
2003-02,4.563,
2003-03,4.510,
2003-04,4.469,
2003-05,4.467,
2003-06,4.401,
2003-07,4.431,
2003-08,4.284,
2003-09,4.121,
2003-10,4.105,
2003-11,4.129,
2003-12,3.914,
2004-01,3.936,
2004-02,4.037,
2004-03,4.158,
2004-04,4.147,
2004-05,2.395,
2004-06,2.392,
2004-07,2.524,
2004-08,2.461,
2004-09,2.475,
2004-10,2.485,
2004-11,2.524,
2004-12,2.437,
2005-01,2.483,
2005-02,2.481,
2005-03,2.543,
2005-04,2.516,
2005-05,2.573,
2005-06,2.620,
2005-07,2.627,
2005-08,2.592,
2005-09,2.774,
2005-10,2.792,
2005-11,2.798,
2005-12,2.722,
2006-01,2.665,
2006-02,2.660,
2006-03,2.715,
2006-04,2.741,
2006-05,2.905,
2006-06,3.012,
2006-07,3.129,
2006-08,3.330,
2006-09,3.544,
2006-10,4.436,
2006-11,4.383,
2006-12,4.422,
2007-01,4.006,
2007-02,4.121,
2007-03,4.310,
2007-04,4.407,
2007-05,4.547,
2007-06,4.649,
2007-07,4.768,
2007-08,4.866,
2007-09,4.968,
2007-10,5.159,
2007-11,5.202,
2007-12,5.934,
2008-01,6.007,
2008-02,6.237,
2008-03,6.361,
2008-04,7.060,
2008-05,7.544,
2008-06,7.640,
2008-07,7.753,
2008-08,7.720,
2008-09,9.795,
2008-10,10.170,
2008-11,10.107,
2008-12,9.867,
2009-01,10.326,
2009-02,10.601,
2009-03,10.485,
2009-04,11.336,
2009-05,11.464,
2009-06,11.849,
2009-07,12.195,
2009-08,12.467,
2009-09,13.375,
2009-10,13.452,
2009-11,13.596,
2009-12,13.732,
2010-01,13.782,
2010-02,14.096,
2010-03,14.546,
2010-04,14.732,
2010-05,14.895,
2010-06,14.935,
2010-07,15.296,
2010-08,15.319,
2010-09,15.208,
2010-10,15.465,
2010-11,15.931,
2010-12,16.020,
2011-01,16.702,
2011-02,16.837,
2011-03,17.398,
2011-04,16.793,
2011-05,17.469,
2011-06,17.653,
2011-07,18.367,
2011-08,18.193,
2011-09,18.246,
2011-10,18.241,
2011-11,18.277,
2011-12,18.238,
2012-01,18.272,
2012-02,18.420,
2012-03,18.760,
2012-04,18.829,
2012-05,18.797,
2012-06,18.845,
2012-07,19.070,
2012-08,19.630,
2012-09,19.687,
2012-10,19.792,
2012-11,19.904,
2012-12,4.934,
2013-01,4.888,
2013-02,4.939,
2013-03,4.960,
2013-04,4.720,
2013-05,4.641,
2013-06,4.673,
2013-07,4.358,
2013-08,4.120,
2013-09,4.065,
2013-10,4.502,
2013-11,4.513,
2013-12,4.418,
2014-01,4.357,
2014-02,4.289,
2014-03,4.245,
2014-04,4.353,
2014-05,4.360,
2014-06,4.390,
2014-07,4.332,
2014-08,4.371,
2014-09,4.398,
2014-10,4.364,
2014-11,4.396,
2014-12,4.387,
"","General: Up to April 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; up to December 2006, including Bulgaria and Romania.",
