"",BBK01.OUE008,BBK01.OUE008_FLAGS
"",Other liabilities / Branches of foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:17:40,
1968-12,0.039,
1969-01,0.052,
1969-02,0.040,
1969-03,0.044,
1969-04,0.059,
1969-05,0.050,
1969-06,0.059,
1969-07,0.086,
1969-08,0.076,
1969-09,0.081,
1969-10,0.100,
1969-11,0.119,
1969-12,0.080,
1970-01,0.116,
1970-02,0.069,
1970-03,0.119,
1970-04,0.063,
1970-05,0.081,
1970-06,0.085,
1970-07,0.075,
1970-08,0.080,
1970-09,0.079,
1970-10,0.082,
1970-11,0.099,
1970-12,0.125,
1971-01,0.067,
1971-02,0.084,
1971-03,0.079,
1971-04,0.092,
1971-05,0.105,
1971-06,0.100,
1971-07,0.118,
1971-08,0.145,
1971-09,0.147,
1971-10,0.130,
1971-11,0.116,
1971-12,0.121,
1972-01,0.125,
1972-02,0.128,
1972-03,0.118,
1972-04,0.113,
1972-05,0.128,
1972-06,0.125,
1972-07,0.150,
1972-08,0.179,
1972-09,0.141,
1972-10,0.186,
1972-11,0.166,
1972-12,0.165,
1973-01,0.183,
1973-02,0.245,
1973-03,0.211,
1973-04,0.238,
1973-05,0.241,
1973-06,0.288,
1973-07,0.295,
1973-08,0.305,
1973-09,0.284,
1973-10,0.297,
1973-11,0.349,
1973-12,0.314,
1974-01,0.306,
1974-02,0.287,
1974-03,0.293,
1974-04,0.305,
1974-05,0.250,
1974-06,0.273,
1974-07,0.250,
1974-08,0.254,
1974-09,0.252,
1974-10,0.264,
1974-11,0.261,
1974-12,0.232,
1975-01,0.243,
1975-02,0.255,
1975-03,0.242,
1975-04,0.212,
1975-05,0.214,
1975-06,0.209,
1975-07,0.232,
1975-08,0.256,
1975-09,0.250,
1975-10,0.249,
1975-11,0.247,
1975-12,0.228,
1976-01,0.223,
1976-02,0.225,
1976-03,0.233,
1976-04,0.230,
1976-05,0.226,
1976-06,0.215,
1976-07,0.224,
1976-08,0.225,
1976-09,0.234,
1976-10,0.222,
1976-11,0.223,
1976-12,0.208,
1977-01,0.193,
1977-02,0.205,
1977-03,0.204,
1977-04,0.194,
1977-05,0.186,
1977-06,0.196,
1977-07,0.215,
1977-08,0.209,
1977-09,0.211,
1977-10,0.217,
1977-11,0.203,
1977-12,0.225,
1978-01,0.208,
1978-02,0.220,
1978-03,0.245,
1978-04,0.209,
1978-05,0.209,
1978-06,0.201,
1978-07,0.215,
1978-08,0.211,
1978-09,0.213,
1978-10,0.249,
1978-11,0.228,
1978-12,0.259,
1979-01,0.217,
1979-02,0.200,
1979-03,0.219,
1979-04,0.213,
1979-05,0.223,
1979-06,0.224,
1979-07,0.217,
1979-08,0.199,
1979-09,0.260,
1979-10,0.244,
1979-11,0.263,
1979-12,0.275,
1980-01,0.238,
1980-02,0.239,
1980-03,0.267,
1980-04,0.246,
1980-05,0.248,
1980-06,0.270,
1980-07,0.291,
1980-08,0.277,
1980-09,0.292,
1980-10,0.286,
1980-11,0.275,
1980-12,0.305,
1981-01,0.295,
1981-02,0.352,
1981-03,0.361,
1981-04,0.314,
1981-05,0.354,
1981-06,0.330,
1981-07,0.377,
1981-08,0.373,
1981-09,0.429,
1981-10,0.405,
1981-11,0.420,
1981-12,0.425,
1982-01,0.387,
1982-02,0.396,
1982-03,0.446,
1982-04,0.364,
1982-05,0.351,
1982-06,0.346,
1982-07,0.348,
1982-08,0.375,
1982-09,0.394,
1982-10,0.460,
1982-11,0.387,
1982-12,0.399,
1983-01,0.373,
1983-02,0.393,
1983-03,0.431,
1983-04,0.387,
1983-05,0.396,
1983-06,0.426,
1983-07,0.455,
1983-08,0.458,
1983-09,0.522,
1983-10,0.457,
1983-11,0.467,
1983-12,0.505,
1984-01,0.456,
1984-02,0.469,
1984-03,0.537,
1984-04,0.460,
1984-05,0.459,
