"",BBK01.OEAI04M,BBK01.OEAI04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:25,
2002-01,19.286,
2002-04,19.665,
2002-07,19.336,
2002-10,18.188,
2003-01,17.531,
2003-04,17.050,
2003-07,15.666,
2003-10,14.299,
2004-01,13.589,
2004-04,13.039,
2004-07,12.511,
2004-10,13.089,
2005-01,11.746,
2005-04,11.969,
2005-07,12.188,
2005-10,13.690,
2006-01,14.015,
2006-04,13.921,
2006-07,15.303,
2006-10,15.860,
2007-01,16.940,
2007-04,16.021,
2007-07,18.502,
2007-10,22.395,
2008-01,24.808,
2008-04,25.670,
2008-07,28.960,
2008-10,33.608,
2009-01,28.598,
2009-04,26.919,
2009-07,24.561,
2009-10,18.904,
2010-01,17.743,
2010-04,16.341,
2010-07,18.366,
2010-10,17.093,
2011-01,18.593,
2011-04,18.744,
2011-07,20.490,
2011-10,23.255,
2012-01,24.604,
2012-04,26.717,
2012-07,22.692,
2012-10,21.714,
2013-01,17.969,
2013-04,18.949,
2013-07,14.798,
2013-10,15.705,
2014-01,16.890,
2014-04,17.333,
2014-07,18.503,
