"",BBDE1.M.DE.Y.AEB1.A2R260050.F.C.I10.A,BBDE1.M.DE.Y.AEB1.A2R260050.F.C.I10.A_FLAGS
"","Orders received from the domestic market / At constant prices / Germany / 26+27 Manufacture of computer, electronic, optical products and of electrical equipment / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:18:09,
1991-01,77.1,
1991-02,73.6,
1991-03,72.2,
1991-04,75.1,
1991-05,72.1,
1991-06,73.3,
1991-07,67.6,
1991-08,77.9,
1991-09,69.3,
1991-10,73.1,
1991-11,72.7,
1991-12,69.8,
1992-01,73.5,
1992-02,75.1,
1992-03,77.6,
1992-04,80.1,
1992-05,78.3,
1992-06,71.0,
1992-07,71.7,
1992-08,70.0,
1992-09,74.8,
1992-10,67.1,
1992-11,65.2,
1992-12,68.1,
1993-01,68.6,
1993-02,68.7,
1993-03,63.4,
1993-04,60.4,
1993-05,60.4,
1993-06,60.9,
1993-07,65.0,
1993-08,65.5,
1993-09,71.1,
1993-10,64.4,
1993-11,60.4,
1993-12,64.5,
1994-01,63.3,
1994-02,61.7,
1994-03,61.3,
1994-04,60.4,
1994-05,61.4,
1994-06,62.3,
1994-07,63.0,
1994-08,62.8,
1994-09,68.1,
1994-10,65.9,
1994-11,64.4,
1994-12,73.9,
1995-01,63.9,
1995-02,65.6,
1995-03,65.3,
1995-04,66.6,
1995-05,62.1,
1995-06,65.7,
1995-07,64.2,
1995-08,64.2,
1995-09,67.1,
1995-10,56.7,
1995-11,61.2,
1995-12,65.9,
1996-01,65.0,
1996-02,63.4,
1996-03,63.4,
1996-04,63.8,
1996-05,62.4,
1996-06,67.2,
1996-07,67.5,
1996-08,62.2,
1996-09,63.2,
1996-10,65.3,
1996-11,66.4,
1996-12,66.4,
1997-01,64.6,
1997-02,62.1,
1997-03,63.5,
1997-04,65.1,
1997-05,63.8,
1997-06,65.8,
1997-07,63.8,
1997-08,62.4,
1997-09,62.7,
1997-10,63.0,
1997-11,65.7,
1997-12,63.7,
1998-01,67.1,
1998-02,67.4,
1998-03,67.4,
1998-04,66.4,
1998-05,70.2,
1998-06,65.8,
1998-07,65.8,
1998-08,64.0,
1998-09,65.3,
1998-10,63.4,
1998-11,63.9,
1998-12,63.8,
1999-01,63.6,
1999-02,64.8,
1999-03,66.9,
1999-04,65.8,
1999-05,69.7,
1999-06,76.8,
1999-07,73.0,
1999-08,76.4,
1999-09,73.3,
1999-10,74.0,
1999-11,75.6,
1999-12,73.8,
2000-01,72.2,
2000-02,74.6,
2000-03,75.8,
2000-04,81.4,
2000-05,79.3,
2000-06,78.9,
2000-07,83.3,
2000-08,82.8,
2000-09,82.6,
2000-10,86.0,
2000-11,80.6,
2000-12,83.3,
2001-01,80.9,
2001-02,81.4,
2001-03,86.8,
2001-04,78.9,
2001-05,77.8,
2001-06,76.3,
2001-07,76.2,
2001-08,75.9,
2001-09,73.6,
2001-10,71.6,
2001-11,71.4,
2001-12,74.9,
2002-01,73.0,
2002-02,72.3,
2002-03,72.1,
2002-04,73.1,
2002-05,71.2,
2002-06,73.8,
2002-07,71.1,
2002-08,73.8,
2002-09,72.3,
2002-10,73.0,
2002-11,73.3,
2002-12,73.7,
2003-01,72.3,
2003-02,75.7,
2003-03,72.5,
2003-04,74.0,
2003-05,72.4,
2003-06,76.3,
2003-07,73.6,
2003-08,73.5,
2003-09,74.9,
