"",BBK01.SU1612,BBK01.SU1612_FLAGS
"",Capital disbursed / Allocations / Deposits under savings an d loan contracts / of which: Applied to settlement of inter im and bridging loans / All building and loan associations,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 10:44:43,
1973-12,0.195,
1974-01,0.194,
1974-02,0.320,
1974-03,0.245,
1974-04,0.361,
1974-05,0.276,
1974-06,0.205,
1974-07,0.176,
1974-08,0.389,
1974-09,0.274,
1974-10,0.329,
1974-11,0.276,
1974-12,0.265,
1975-01,0.157,
1975-02,0.315,
1975-03,0.228,
1975-04,0.271,
1975-05,0.256,
1975-06,0.222,
1975-07,0.239,
1975-08,0.299,
1975-09,0.290,
1975-10,0.285,
1975-11,0.267,
1975-12,0.247,
1976-01,0.161,
1976-02,0.321,
1976-03,0.295,
1976-04,0.239,
1976-05,0.260,
1976-06,0.197,
1976-07,0.156,
1976-08,0.298,
1976-09,0.232,
1976-10,0.292,
1976-11,0.272,
1976-12,0.208,
1977-01,0.159,
1977-02,0.275,
1977-03,0.236,
1977-04,0.293,
1977-05,0.232,
1977-06,0.183,
1977-07,0.163,
1977-08,0.276,
1977-09,0.230,
1977-10,0.313,
1977-11,0.259,
1977-12,0.246,
1978-01,0.184,
1978-02,0.307,
1978-03,0.221,
1978-04,0.300,
1978-05,0.260,
1978-06,0.194,
1978-07,0.211,
1978-08,0.328,
1978-09,0.227,
1978-10,0.329,
1978-11,0.293,
1978-12,0.246,
1979-01,0.230,
1979-02,0.332,
1979-03,0.211,
1979-04,0.298,
1979-05,0.246,
1979-06,0.193,
1979-07,0.195,
1979-08,0.312,
1979-09,0.227,
1979-10,0.340,
1979-11,0.266,
1979-12,0.215,
1980-01,0.193,
1980-02,0.290,
1980-03,0.238,
1980-04,0.307,
1980-05,0.260,
1980-06,0.210,
1980-07,0.239,
1980-08,0.285,
1980-09,0.268,
1980-10,0.354,
1980-11,0.272,
1980-12,0.285,
1981-01,0.208,
1981-02,0.222,
1981-03,0.339,
1981-04,0.168,
1981-05,0.355,
1981-06,0.213,
1981-07,0.212,
1981-08,0.227,
1981-09,0.375,
1981-10,0.263,
1981-11,0.452,
1981-12,0.313,
1982-01,0.179,
1982-02,0.224,
1982-03,0.357,
1982-04,0.204,
1982-05,0.397,
1982-06,0.254,
1982-07,0.233,
1982-08,0.225,
1982-09,0.300,
1982-10,0.209,
1982-11,0.433,
1982-12,0.292,
1983-01,0.234,
1983-02,0.225,
1983-03,0.407,
1983-04,0.189,
1983-05,0.405,
1983-06,0.259,
1983-07,0.187,
1983-08,0.265,
1983-09,0.378,
1983-10,0.238,
1983-11,0.330,
1983-12,0.310,
1984-01,0.307,
1984-02,0.251,
1984-03,0.371,
1984-04,0.276,
1984-05,0.309,
1984-06,0.274,
1984-07,0.206,
1984-08,0.271,
1984-09,0.575,
1984-10,0.229,
1984-11,0.361,
1984-12,0.281,
1985-01,0.280,
1985-02,0.239,
1985-03,0.343,
1985-04,0.169,
1985-05,0.422,
1985-06,0.258,
1985-07,0.222,
1985-08,0.249,
1985-09,0.329,
1985-10,0.192,
1985-11,0.422,
1985-12,0.293,
1986-01,0.346,
1986-02,0.253,
1986-03,0.328,
1986-04,0.214,
1986-05,0.371,
1986-06,0.270,
1986-07,0.412,
1986-08,0.291,
1986-09,0.343,
1986-10,0.249,
1986-11,0.342,
1986-12,0.280,
1987-01,0.357,
1987-02,0.320,
1987-03,0.460,
1987-04,0.255,
1987-05,0.285,
1987-06,0.343,
1987-07,0.280,
1987-08,0.279,
1987-09,0.335,
1987-10,0.266,
1987-11,0.288,
1987-12,0.293,
1988-01,0.328,
1988-02,0.277,
1988-03,0.372,
1988-04,0.305,
1988-05,0.255,
1988-06,0.321,
1988-07,0.270,
1988-08,0.273,
1988-09,0.368,
1988-10,0.266,
1988-11,0.251,
1988-12,0.312,
1989-01,0.219,
1989-02,0.214,
1989-03,0.230,
1989-04,0.273,
1989-05,0.229,
1989-06,0.274,
1989-07,0.197,
1989-08,0.239,
1989-09,0.230,
1989-10,0.221,
