"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.ES.00000.F05100.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.ES.00000.F05100.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares / Spain,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:29,
2009-09,7077,
2009-10,6997,
2009-11,7109,
2009-12,7262,
2010-01,6549,
2010-02,5943,
2010-03,6286,
2010-04,5964,
2010-05,5389,
2010-06,5395,
2010-07,6094,
2010-08,5845,
2010-09,6079,
2010-10,6285,
2010-11,5292,
2010-12,5611,
2011-01,6333,
2011-02,6311,
2011-03,6102,
2011-04,6240,
2011-05,5898,
2011-06,5897,
2011-07,5458,
2011-08,4828,
2011-09,4844,
2011-10,5130,
2011-11,4577,
2011-12,4621,
2012-01,4477,
2012-02,4412,
2012-03,4117,
2012-04,3553,
2012-05,3046,
2012-06,3398,
2012-07,3223,
2012-08,3351,
2012-09,3526,
2012-10,3651,
2012-11,3661,
2012-12,3842,
2013-01,4061,
2013-02,3977,
2013-03,3918,
2013-04,4352,
2013-05,4385,
2013-06,3979,
2013-07,4568,
2013-08,4579,
2013-09,4986,
2013-10,5528,
2013-11,5487,
2013-12,5401,
2014-01,5187,
2014-02,5347,
2014-03,5664,
2014-04,5949,
2014-05,6242,
2014-06,6414,
2014-07,6350,
2014-08,6354,
2014-09,6398,
2014-10,6127,
2014-11,6276,
