"",BBK01.OECB14M,BBK01.OECB14M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:40,
2002-01,0.315,
2002-04,0.301,
2002-07,0.297,
2002-10,0.300,
2003-01,0.276,
2003-04,0.278,
2003-07,0.266,
2003-10,0.250,
2004-01,0.230,
2004-04,0.221,
2004-07,0.215,
2004-10,0.333,
2005-01,0.335,
2005-04,0.313,
2005-07,0.306,
2005-10,0.296,
2006-01,0.282,
2006-04,0.278,
2006-07,0.270,
2006-10,0.245,
2007-01,0.235,
2007-04,0.222,
2007-07,0.217,
2007-10,0.224,
2008-01,0.215,
2008-04,0.206,
2008-07,0.210,
2008-10,0.200,
2009-01,0.185,
2009-04,0.173,
2009-07,0.169,
2009-10,0.170,
2010-01,0.155,
2010-04,0.147,
2010-07,0.149,
2010-10,0.145,
2011-01,0.148,
2011-04,0.146,
2011-07,0.144,
2011-10,0.145,
2012-01,0.139,
2012-04,0.136,
2012-07,0.133,
2012-10,0.142,
2013-01,0.153,
2013-04,0.148,
2013-07,0.117,
2013-10,0.115,
2014-01,0.116,
2014-04,0.112,
2014-07,0.101,
