"",BBK01.OEAP01H,BBK01.OEAP01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:46,
2002-01,0.522,
2002-04,0.512,
2002-07,0.431,
2002-10,0.480,
2003-01,0.513,
2003-04,0.523,
2003-07,0.400,
2003-10,0.349,
2004-01,0.309,
2004-04,0.281,
2004-07,0.207,
2004-10,0.335,
2005-01,0.217,
2005-04,0.192,
2005-07,0.174,
2005-10,0.177,
2006-01,0.135,
2006-04,0.168,
2006-07,0.136,
2006-10,0.100,
2007-01,0.075,
2007-04,0.094,
2007-07,0.092,
2007-10,0.061,
2008-01,0.050,
2008-04,0.067,
2008-07,0.057,
2008-10,0.087,
2009-01,0.065,
2009-04,0.060,
2009-07,0.062,
2009-10,0.050,
2010-01,0.053,
2010-04,0.025,
2010-07,0.016,
2010-10,0.055,
2011-01,0.042,
2011-04,0.037,
2011-07,0.016,
2011-10,0.023,
2012-01,0.015,
2012-04,0.052,
2012-07,0.019,
2012-10,0.029,
2013-01,0.019,
2013-04,0.017,
2013-07,0.029,
2013-10,0.015,
2014-01,0.006,
2014-04,0.009,
2014-07,0.014,
