"",BBK01.OXA8G9,BBK01.OXA8G9_FLAGS
"",Long-term loans (including bills of exchange) to domestic employees and other individuals,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:14:59,
1999-01,685.315,
1999-02,687.652,
1999-03,692.590,
1999-04,697.793,
1999-05,702.245,
1999-06,708.425,
1999-07,714.065,
1999-08,719.822,
1999-09,727.864,
1999-10,733.473,
1999-11,740.004,
1999-12,747.538,
2000-01,749.769,
2000-02,751.970,
2000-03,753.455,
2000-04,755.477,
2000-05,758.426,
2000-06,761.714,
2000-07,765.026,
2000-08,767.735,
2000-09,770.056,
2000-10,772.999,
2000-11,775.914,
2000-12,780.765,
2001-01,780.459,
2001-02,780.302,
2001-03,782.329,
2001-04,783.513,
2001-05,785.878,
2001-06,788.495,
2001-07,791.407,
2001-08,795.112,
2001-09,798.083,
2001-10,800.811,
2001-11,803.755,
2001-12,805.976,
2002-01,806.817,
2002-02,807.769,
2002-03,808.584,
2002-04,810.544,
2002-05,812.419,
2002-06,814.662,
2002-07,817.836,
2002-08,820.218,
2002-09,822.445,
2002-10,825.159,
2002-11,827.167,
2002-12,829.837,
2003-01,830.576,
2003-02,831.830,
2003-03,832.937,
2003-04,834.742,
2003-05,837.510,
2003-06,840.075,
2003-07,843.506,
2003-08,846.712,
2003-09,849.244,
2003-10,852.446,
2003-11,854.660,
2003-12,856.539,
2004-01,856.419,
2004-02,856.507,
2004-03,857.588,
2004-04,859.167,
2004-05,860.778,
2004-06,864.075,
2004-07,866.038,
2004-08,868.131,
2004-09,871.653,
2004-10,873.157,
2004-11,874.849,
2004-12,882.556,
2005-01,881.210,
2005-02,880.966,
2005-03,880.376,
2005-04,883.822,
2005-05,884.877,
2005-06,886.064,
2005-07,888.584,
2005-08,890.454,
2005-09,893.450,
2005-10,895.572,
2005-11,897.632,
2005-12,899.608,
2006-01,905.627,
2006-02,906.158,
2006-03,905.261,
2006-04,906.498,
2006-05,907.089,
2006-06,907.932,
2006-07,909.557,
2006-08,911.758,
2006-09,913.340,
2006-10,914.433,
2006-11,915.046,
2006-12,914.282,
2007-01,912.494,
2007-02,912.009,
2007-03,911.341,
2007-04,910.425,
2007-05,909.706,
2007-06,910.548,
2007-07,910.330,
2007-08,911.213,
2007-09,912.554,
2007-10,911.815,
2007-11,912.209,
2007-12,910.641,
2008-01,909.005,
2008-02,908.871,
2008-03,907.515,
2008-04,907.734,
2008-05,908.155,
2008-06,908.597,
2008-07,909.960,
2008-08,910.887,
2008-09,910.854,
2008-10,911.129,
2008-11,911.407,
2008-12,909.385,
2009-01,907.505,
2009-02,907.353,
2009-03,904.250,
2009-04,905.176,
2009-05,905.955,
2009-06,905.710,
2009-07,907.128,
2009-08,908.379,
2009-09,909.216,
2009-10,910.803,
2009-11,911.207,
2009-12,910.585,
2010-01,908.447,
2010-02,907.433,
2010-03,907.527,
2010-04,908.172,
2010-05,908.513,
2010-06,909.091,
2010-07,910.742,
2010-08,911.909,
2010-09,912.958,
2010-10,914.343,
2010-11,915.599,
2010-12,915.013,
2011-01,913.481,
2011-02,914.109,
2011-03,913.901,
2011-04,915.011,
2011-05,916.574,
2011-06,917.245,
2011-07,919.072,
2011-08,920.681,
2011-09,922.867,
2011-10,924.108,
2011-11,925.345,
2011-12,925.179,
2012-01,924.061,
2012-02,924.221,
2012-03,925.163,
2012-04,923.133,
2012-05,924.608,
2012-06,924.635,
2012-07,926.158,
2012-08,929.124,
2012-09,930.843,
2012-10,933.190,
2012-11,935.655,
2012-12,934.714,
2013-01,933.414,
2013-02,934.152,
2013-03,935.098,
2013-04,936.005,
2013-05,937.373,
2013-06,939.413,
2013-07,941.672,
2013-08,944.978,
2013-09,945.555,
2013-10,948.173,
2013-11,950.872,
2013-12,949.708,
2014-01,948.208,
2014-02,949.982,
2014-03,950.350,
2014-04,953.608,
2014-05,956.331,
2014-06,957.581,
2014-07,960.688,
2014-08,964.042,
2014-09,965.803,
2014-10,968.778,
2014-11,971.828,
2014-12,971.625,Provisional value
