"",BBFB1.M.N.DE.W1.S1.S1.T.C.SB___AD._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.SB___AD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Supplementary trade items / To exports / Deductions / Exports after processing / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:51,
2004-03,2474.577,
2004-04,2594.440,
2004-05,2515.515,
2004-06,2370.948,
2004-07,2188.514,
2004-08,2357.971,
2004-09,2449.005,
2004-10,2374.051,
2004-11,2436.852,
2004-12,2422.873,
2005-01,2280.092,
2005-02,2091.892,
2005-03,3159.657,
2005-04,2572.349,
2005-05,2545.455,
2005-06,2803.323,
2005-07,2267.270,
2005-08,3029.724,
2005-09,2842.468,
2005-10,2674.991,
2005-11,2686.098,
2005-12,2705.334,
2006-01,2388.143,
2006-02,2716.980,
2006-03,3240.717,
2006-04,2462.740,
2006-05,2795.144,
2006-06,2888.711,
2006-07,2822.614,
2006-08,2763.069,
2006-09,3027.729,
2006-10,3112.122,
2006-11,3517.183,
2006-12,3090.837,
2007-01,2525.553,
2007-02,2683.566,
2007-03,2805.742,
2007-04,2592.990,
2007-05,2835.043,
2007-06,2880.397,
2007-07,2812.172,
2007-08,2372.849,
2007-09,2354.867,
2007-10,3209.283,
2007-11,2884.882,
2007-12,2584.812,
2008-01,2715.588,
2008-02,3063.352,
2008-03,2428.930,
2008-04,3039.226,
2008-05,2412.533,
2008-06,2720.336,
2008-07,2928.631,
2008-08,2651.319,
2008-09,2931.603,
2008-10,2760.914,
2008-11,2764.510,
2008-12,2685.566,
2009-01,1837.880,
2009-02,1953.236,
2009-03,3191.524,
2009-04,2666.039,
2009-05,2779.386,
2009-06,3022.770,
2009-07,2728.628,
2009-08,2863.371,
2009-09,2776.452,
2009-10,2911.243,
2009-11,2923.782,
2009-12,2929.880,
2010-01,2691.424,
2010-02,2913.080,
2010-03,3384.782,
2010-04,2743.452,
2010-05,3097.079,
2010-06,3843.939,
2010-07,3274.886,
2010-08,2590.866,
2010-09,2981.149,
2010-10,3106.156,
2010-11,2796.035,
2010-12,3249.870,
2011-01,2938.602,
2011-02,2994.752,
2011-03,3245.906,
2011-04,2856.250,
2011-05,3231.243,
2011-06,2886.288,
