"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.PT.00000.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.PT.00000.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Portugal,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:59,
2009-09,883,
2009-10,892,
2009-11,927,
2009-12,905,
2010-01,880,
2010-02,963,
2010-03,1063,
2010-04,895,
2010-05,855,
2010-06,872,
2010-07,998,
2010-08,989,
2010-09,925,
2010-10,933,
2010-11,778,
2010-12,752,
2011-01,711,
2011-02,743,
2011-03,682,
2011-04,568,
2011-05,566,
2011-06,531,
2011-07,436,
2011-08,377,
2011-09,341,
2011-10,325,
2011-11,294,
2011-12,288,
2012-01,223,
2012-02,268,
2012-03,247,
2012-04,246,
2012-05,206,
2012-06,176,
2012-07,134,
2012-08,124,
2012-09,138,
2012-10,145,
2012-11,187,
2012-12,186,
2013-01,317,
2013-02,329,
2013-03,336,
2013-04,307,
2013-05,361,
2013-06,301,
2013-07,247,
2013-08,249,
2013-09,238,
2013-10,252,
2013-11,297,
2013-12,302,
2014-01,391,
2014-02,448,
2014-03,508,
2014-04,579,
2014-05,618,
2014-06,679,
2014-07,691,
2014-08,705,
2014-09,750,
2014-10,709,
2014-11,719,
