"",BBSF2.M.1.S.00000.SON01.I.F.GMP.Z5.00000.F33100.Z01.B1,BBSF2.M.1.S.00000.SON01.I.F.GMP.Z5.00000.F33100.Z01.B1_FLAGS
"",Special investors funds / Other funds / Short-term debt securities,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:18,
2009-09,10,
2009-10,10,
2009-11,48,
2009-12,66,
2010-01,119,
2010-02,119,
2010-03,120,
2010-04,120,
2010-05,118,
2010-06,141,
2010-07,142,
2010-08,142,
2010-09,164,
2010-10,163,
2010-11,163,
2010-12,65,
2011-01,42,
2011-02,52,
2011-03,63,
2011-04,111,
2011-05,109,
2011-06,130,
2011-07,106,
2011-08,97,
2011-09,105,
2011-10,130,
2011-11,123,
2011-12,145,
2012-01,110,
2012-02,99,
2012-03,93,
2012-04,96,
2012-05,91,
2012-06,100,
2012-07,95,
2012-08,114,
2012-09,76,
2012-10,63,
2012-11,61,
2012-12,44,
2013-01,61,
2013-02,53,
2013-03,87,
2013-04,61,
2013-05,61,
2013-06,82,
2013-07,85,
2013-08,67,
2013-09,69,
2013-10,64,
2013-11,67,
2013-12,37,
2014-01,49,
2014-02,91,
2014-03,101,
2014-04,103,
2014-05,105,
2014-06,88,
2014-07,156,
2014-08,77,
2014-09,47,
2014-10,71,
2014-11,72,
