"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.LU.00000.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.LU.00000.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Luxembourg,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:49,
2009-09,1460,
2009-10,1473,
2009-11,1432,
2009-12,1410,
2010-01,1363,
2010-02,1309,
2010-03,1529,
2010-04,1490,
2010-05,1475,
2010-06,1541,
2010-07,1595,
2010-08,1568,
2010-09,1544,
2010-10,1546,
2010-11,1596,
2010-12,1548,
2011-01,1554,
2011-02,1600,
2011-03,1513,
2011-04,1469,
2011-05,1505,
2011-06,1578,
2011-07,1580,
2011-08,1476,
2011-09,1436,
2011-10,1579,
2011-11,1543,
2011-12,1531,
2012-01,1602,
2012-02,1601,
2012-03,1785,
2012-04,1802,
2012-05,1937,
2012-06,1925,
2012-07,2094,
2012-08,2062,
2012-09,2062,
2012-10,2114,
2012-11,2069,
2012-12,2003,
2013-01,2019,
2013-02,2092,
2013-03,2055,
2013-04,2126,
2013-05,2167,
2013-06,2082,
2013-07,2355,
2013-08,2399,
2013-09,2420,
2013-10,2453,
2013-11,2478,
2013-12,2431,
2014-01,2441,
2014-02,2429,
2014-03,2476,
2014-04,2504,
2014-05,2541,
2014-06,2682,
2014-07,2569,
2014-08,2565,
2014-09,2271,
2014-10,2288,
2014-11,2372,
