"",BBFB1.M.N.DE.W1.S1ZL.S1.T.L.FA.P.F3.S._T._X.N,BBFB1.M.N.DE.W1.S1ZL.S1.T.L.FA.P.F3.S._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Short-term debt-securities / Private issuers / Net / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:26,
1991-01,-1.298,
1991-02,33.628,
1991-03,54.108,
1991-04,31.723,
1991-05,556.802,
1991-06,251.238,
1991-07,229.285,
1991-08,553.232,
1991-09,392.110,
1991-10,353.794,
1991-11,-44.387,
1991-12,-68.061,
1992-01,-96.001,
1992-02,-233.487,
1992-03,199.690,
1992-04,101.051,
1992-05,317.066,
1992-06,-284.608,
1992-07,429.243,
1992-08,151.323,
1992-09,-243.032,
1992-10,925.766,
1992-11,220.806,
1992-12,170.146,
1993-01,-445.033,
1993-02,-213.510,
1993-03,83.544,
1993-04,570.068,
1993-05,363.272,
1993-06,294.353,
1993-07,58.238,
1993-08,-356.519,
1993-09,-239.592,
1993-10,513.438,
1993-11,448.495,
1993-12,-497.453,
1994-01,-80.333,
1994-02,146.902,
1994-03,255.566,
1994-04,66.400,
1994-05,-184.656,
1994-06,-14.045,
1994-07,222.026,
1994-08,312.762,
1994-09,-391.490,
1994-10,164.603,
1994-11,-880.396,
1994-12,-436.385,
1995-01,3.942,
1995-02,379.411,
1995-03,-40.757,
1995-04,-354.686,
1995-05,-173.691,
1995-06,-530.612,
1995-07,61.990,
1995-08,119.933,
1995-09,-151.536,
1995-10,-361.169,
1995-11,-322.768,
1995-12,-762.082,
1996-01,2089.021,
1996-02,79.790,
1996-03,-130.168,
1996-04,491.756,
1996-05,109.154,
1996-06,-667.281,
1996-07,418.059,
1996-08,81.197,
1996-09,-101.327,
1996-10,54.568,
1996-11,-370.573,
1996-12,284.730,
1997-01,1110.870,
1997-02,43.293,
1997-03,-236.775,
1997-04,398.179,
1997-05,-32.321,
1997-06,296.536,
1997-07,438.081,
1997-08,-64.695,
1997-09,590.910,
1997-10,286.335,
1997-11,639.886,
1997-12,-594.850,
1998-01,1953.514,
1998-02,1267.652,
1998-03,689.045,
1998-04,1446.957,
1998-05,1015.094,
1998-06,220.746,
1998-07,1505.060,
1998-08,680.322,
1998-09,483.354,
1998-10,-6.926,
1998-11,1580.382,
1998-12,-466.847,
1999-01,488.847,
1999-02,2195.710,
1999-03,-645.178,
1999-04,4365.104,
1999-05,904.935,
1999-06,2290.141,
1999-07,1450.056,
1999-08,5872.844,
1999-09,6951.848,
1999-10,1464.803,
1999-11,11920.484,
1999-12,4693.991,
2000-01,-8463.424,
2000-02,2140.561,
2000-03,1586.081,
2000-04,2008.029,
2000-05,4310.004,
2000-06,4695.930,
2000-07,2998.899,
2000-08,-5638.683,
2000-09,2285.590,
2000-10,510.161,
2000-11,-7641.805,
2000-12,1368.382,
2001-01,-473.659,
2001-02,-6849.495,
2001-03,-2753.948,
2001-04,-2063.663,
2001-05,-765.245,
2001-06,-3964.524,
2001-07,303.783,
2001-08,-1095.545,
2001-09,-459.249,
2001-10,466.034,
2001-11,216.007,
2001-12,-634.981,
2002-01,267.338,
2002-02,-76.997,
2002-03,-1471.428,
2002-04,2811.888,
2002-05,979.793,
2002-06,1411.091,
2002-07,1600.896,
2002-08,4357.163,
2002-09,2505.637,
2002-10,2622.769,
2002-11,4870.933,
2002-12,-571.018,
2003-01,8322.110,
2003-02,13709.225,
2003-03,2332.232,
2003-04,439.356,
2003-05,4333.608,
2003-06,-2158.714,
2003-07,-4056.843,
2003-08,-10818.047,
2003-09,1476.837,
2003-10,1934.708,
2003-11,-537.853,
2003-12,-6365.004,
2004-01,-1882.964,
2004-02,-6415.485,
2004-03,2654.635,
2004-04,818.624,
2004-05,-2726.826,
2004-06,696.650,
2004-07,-255.463,
2004-08,-61.132,
2004-09,-338.135,
2004-10,-1101.534,
2004-11,1481.837,
2004-12,-5784.914,
2005-01,6516.083,
2005-02,531.852,
2005-03,-2802.533,
2005-04,3628.383,
2005-05,-492.278,
2005-06,-2090.176,
2005-07,2909.305,
2005-08,-1869.490,
2005-09,-3264.332,
2005-10,2447.641,
2005-11,-5800.134,
2005-12,-5653.160,
2006-01,4787.909,
2006-02,-158.653,
2006-03,3850.391,
2006-04,3551.177,
2006-05,2003.981,
2006-06,-3317.674,
2006-07,-1967.424,
2006-08,1641.424,
2006-09,-3103.070,
2006-10,3666.040,
2006-11,1298.552,
2006-12,-11935.090,
2007-01,6580.395,
2007-02,2146.696,
2007-03,1679.915,
2007-04,5017.584,
2007-05,4648.043,
2007-06,-2619.630,
2007-07,7194.002,
2007-08,4111.439,
2007-09,5457.242,
2007-10,4228.823,
2007-11,9090.974,
2007-12,-442.583,
2008-01,9170.628,
2008-02,-429.881,
2008-03,6636.857,
2008-04,-1347.629,
2008-05,1906.416,
2008-06,4844.363,
2008-07,5554.371,
2008-08,5094.133,
2008-09,-3455.419,
2008-10,2144.834,
2008-11,-443.364,
2008-12,-403.145,
2009-01,-1833.512,
2009-02,-6912.776,
2009-03,2313.806,
2009-04,773.764,
2009-05,6240.480,
2009-06,-5224.871,
2009-07,166.540,
2009-08,4454.850,
2009-09,-2023.709,
2009-10,-2421.258,
2009-11,-3206.973,
2009-12,1448.262,
2010-01,-119.046,
2010-02,3369.223,
2010-03,632.433,
2010-04,10223.281,
2010-05,-1627.944,
2010-06,-11287.036,
2010-07,4465.350,
2010-08,3339.964,
2010-09,-1326.949,
2010-10,679.328,
2010-11,7360.940,
2010-12,-4543.868,
2011-01,-308.709,
2011-02,6911.862,
2011-03,-6932.136,
2011-04,-2746.874,
2011-05,8695.786,
2011-06,-16430.603,
2011-07,7797.064,
2011-08,9903.381,
2011-09,-9372.488,
2011-10,-133.436,
2011-11,1790.289,
2011-12,-7435.719,
2012-01,-3408.646,
2012-02,-1036.237,
2012-03,-3008.987,
2012-04,-4148.426,
2012-05,10216.941,
2012-06,-14.632,
2012-07,2982.726,
2012-08,-6048.412,
2012-09,-5310.846,
2012-10,27.057,
2012-11,3018.396,
2012-12,-7080.368,
2013-01,4615.651,
2013-02,7127.181,
2013-03,224.106,
2013-04,4420.197,
2013-05,2811.099,
2013-06,-1929.899,
2013-07,5757.546,
2013-08,878.578,
2013-09,-2741.685,
2013-10,-900.689,
2013-11,-4985.972,
2013-12,-16784.331,
2014-01,15896.364,
2014-02,41.389,Provisional value
2014-03,-6236.641,Provisional value
2014-04,-35.184,Provisional value
2014-05,4823.600,Provisional value
2014-06,1709.385,Provisional value
2014-07,4432.155,Provisional value
2014-08,9077.108,Provisional value
2014-09,-3795.550,
2014-10,-3114.069,
2014-11,-5450.685,
2014-12,-5585.595,Provisional value
