"",BBK01.CEFQ0M,BBK01.CEFQ0M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:25,
1999-01,14.2,
1999-04,13.6,
1999-07,12.8,
1999-10,13.5,
2000-01,13.8,
2000-04,14.3,
2000-07,15.3,
2000-10,15.6,
2001-01,16.0,
2001-04,15.3,
2001-07,15.4,
2001-10,17.1,
2002-01,16.5,
2002-04,16.1,
2002-07,15.2,
2002-10,16.1,
2003-01,16.6,
2003-04,16.1,
2003-07,15.1,
2003-10,14.5,
2004-01,13.6,
2004-04,12.9,
2004-07,12.1,
2004-10,13.2,
2005-01,11.9,
2005-04,11.0,
2005-07,11.9,
2005-10,12.4,
2006-01,12.3,
2006-04,12.0,
2006-07,12.7,
2006-10,13.3,
2007-01,13.7,
2007-04,14.9,
2007-07,16.4,
2007-10,17.9,
2008-01,19.1,
2008-04,20.8,
2008-07,20.1,
2008-10,19.8,
2009-01,16.9,
2009-04,15.4,
2009-07,13.9,
2009-10,12.0,
2010-01,11.2,
2010-04,11.3,
2010-07,11.4,
2010-10,12.1,
2011-01,11.2,
2011-04,11.5,
2011-07,14.3,
2011-10,12.3,
2012-01,12.4,
2012-04,12.0,
2012-07,11.3,
2012-10,11.0,
2013-01,10.9,
2013-04,10.3,
2013-07,10.0,
2013-10,10.5,
2014-01,10.2,
2014-04,11.0,
2014-07,10.7,
